Protein-Sorting: Importsignal Kern,"NLS = Nuclear Localization Signal. Lage intern (nicht N-terminal!), Länge 7-9 Aminosäuren, basisch oder bipartit. Wird nicht abgespalten"
Protein-Sorting: Beispiel einer NLS,"SV40 T-Antigen: PKKKRKV (auf der Folie als PKKKRKVEDP). Weitere Beispiele: Adenovirus E1a (Lys-Arg-Pro-Arg-Pro), Hefe-TF SWI5 (bipartit)"
Protein-Sorting: Signal für den ER-Import,N-terminales Signalpeptid mit polarer Region und hydrophobem Kern. Ko-translationaler Import; wird von der Signal-Peptidase im ER-Lumen abgespalten. Notwendig und hinreichend (gezeigt durch Fusion an heterologe Proteine)
Protein-Sorting: Signal für ER-Retention (lösliche Proteine),KDEL am C-Terminus - in Pflanzen HDEL
Protein-Sorting: Signal für ER-Retention (Membranproteine),"KKXX am C-Terminus. Achtung: steht nicht auf den Folien von Stunde 08, dort wird nur KDEL/HDEL genannt"
Protein-Sorting: Importsignal Mitochondrium,"N-terminales Transitpeptid, amphipathische Helix, positiv geladen, 12-30 Aminosäuren. Post-translationaler Import über TOM/TIM; Signal wird abgespalten. Keine Konservierung der Primärsequenz"
Protein-Sorting: Importsignal Plastid,"N-terminales Transitpeptid, geladen, mehr als 25 Aminosäuren. Post-translationaler Import über TOC/TIC; Signal wird abgespalten"
Protein-Sorting: Importsignal Peroxisom,"PTS1 = C-terminal -SKL, nur 3 Aminosäuren. Import über einen Carrier, nicht über ein Translocon"
Protein-Sorting: Signal für Lysosom,Mannose-6-Phosphat-Markierung; die Sortierung erfolgt am trans-Golgi über M6P-Rezeptoren
Protein-Sorting: Signal für die Plasmamembran,''Residence signal'' - ohne dieses Signal wird das Protein sezerniert (Default)
Protein-Sorting: Lage der vier cytosolischen Sortierungssignale,"Mitochondrium N-terminal, Chloroplast N-terminal, Zellkern intern, Peroxisom C-terminal. Die NLS ist die Ausnahme - das ist die typische Zuordnungsfalle"
Was ist der ''default pathway'' beim Protein-Sorting?,"Ko-translationale Insertion ins ER, dann Passage ER \(\rightarrow\) Golgi \(\rightarrow\) Plasmamembran \(\rightarrow\) Sekretion. Jede andere Lokalisation braucht ein zusätzliches Signal"
Welche Proteine werden an freien Ribosomen synthetisiert?,"Cytosolische Proteine sowie alle Proteine für Organellen und Zellkern, die post-translational importiert werden"
