Wie lässt sich bei Poisson-verteilten Stichprobenvariablen der Parameter \(\lambda\) aus dem Erwartungswert gewinnen?,\(\lambda = E[X_1]\) - der Parameter ist hier selbst der Erwartungswert.
Wie lässt sich bei exponentialverteilten Stichprobenvariablen der Parameter \(\alpha\) aus dem Erwartungswert gewinnen?,\(\alpha = \dfrac{1}{E[X_1]}\) - der Parameter ist der Kehrwert des Erwartungswerts.
Lässt sich der Parameter einer Verteilung immer aus dem Erwartungswert berechnen?,"Nein. Beispiel: Sind die Stichprobenvariablen gleichverteilt auf \(\{-\theta,\dots,\theta\}\), so gilt stets \(E[X_i]=0\) - unabhängig von \(\theta\). Der Erwartungswert enthält hier gar keine Information über \(\theta\)."
"Was kann man tun, wenn der Erwartungswert nichts über den gesuchten Parameter verrät (wie bei der symmetrischen Gleichverteilung)?","Man kann stattdessen die Varianz schätzen, die (anders als der Erwartungswert) vom gesuchten Parameter abhängt."
"Wie lautet der erwartungstreue Schätzer für die Varianz, wenn der Erwartungswert \(\mu\) bekannt ist?",\(\dfrac1n\sum_{i=1}^n (x_i-\mu)^2\) ist erwartungstreu - man ersetzt \(\bar x\) im naiven Ansatz durch den bekannten wahren Erwartungswert \(\mu\).
Warum wird an dieser Stelle die Normalverteilung als Beispiel eingeführt?,"Um zu verstehen, wie ein Schätzer für eine Varianz sinnvoll sein kann. Die Normalverteilung unterscheidet sich von den bisherigen Beispielen dadurch, dass sie durch zwei Parameter (\(\mu\) und \(\sigma^2\)) beschrieben wird."
"Wie lautet die Dichte der Normalverteilung mit Parametern \(\mu\in\mathbb R\), \(\sigma^2>0\)?","\(\varphi_{\mu,\sigma^2}(x) = \dfrac{1}{\sqrt{2\pi\sigma^2}} \exp\!\left(-\dfrac{(x-\mu)^2}{2\sigma^2}\right)\) für \(x\in\mathbb R\). (Für \(\mu=0,\sigma^2=1\) ergibt sich die Dichte der Standardnormalverteilung.)"
"Welche Kennzahlen einer Zufallsvariablen \(X\) mit Dichte \(\varphi_{\mu,\sigma^2}\) entsprechen den beiden Parametern \(\mu\) und \(\sigma^2\)?",\(E[X]=\mu\) und \(\operatorname{Var}(X)=\sigma^2\) - die beiden Parameter der Normalverteilung sind also direkt Erwartungswert und Varianz.
Was motiviert die Einführung von Bereichsschätzern (Konfidenzintervallen)?,"Punktschätzungen (auch simulativ illustriert) zeigen, dass der geschätzte Parameter in der Regel nicht exakt der wahre Parameter ist. Die Idee ist daher, ein Intervall zu suchen, von dem man mit vorgegebener Wahrscheinlichkeit sagen kann, dass der wahre Parameter darin liegt."
Wie ist das \((1-\alpha/2)\)-Quantil \(z_{1-\alpha/2}\) der Standardnormalverteilung definiert?,"Das kleinste \(c\) mit \(\Phi(c)\ge 1-\alpha/2\) - äquivalent dazu, dass für \(Z\sim N(0,1)\) gilt \(P(|Z|\le c)\ge 1-\alpha\). Es liefert die Breite des symmetrischen Bereichs, der eine standardnormalverteilte ZV mit Wahrscheinlichkeit \(\ge 1-\alpha\) enthält."
"Wie lässt sich eine normalverteilte Zufallsvariable \(X\sim N(\mu,\sigma^2)\) mit Hilfe einer standardnormalverteilten ZV \(Z\) darstellen?","\(X = \mu + \sigma Z\) mit \(Z\sim N(0,1)\)."
Welcher Fakt über Summen unabhängiger normalverteilter Zufallsvariablen wird zur Herleitung des Konfidenzintervalls für \(\bar X\) genutzt?,"Die Summe unabhängiger normalverteilter ZV ist wieder normalverteilt, wobei sich die Parameter addieren: \(\sum_{i=1}^n X_i \sim N(n\mu,\,n\sigma^2)\), und folglich \(\bar X \sim N(\mu,\,\sigma^2/n)\)."
Wie lautet das Konfidenzintervall für \(\mu\) bei \(n\) normalverteilten Stichprobenvariablen mit bekannter Varianz \(\sigma^2\)?,"\(\left[\bar X - \sigma\sqrt{\tfrac1n}\,c,\ \bar X+\sigma\sqrt{\tfrac1n}\,c\right]\) mit \(c=z_{1-\alpha/2}\), sodass \(P(\mu\in[\cdot])\ge 1-\alpha\)."
Wie verändert sich die Breite des Konfidenzintervalls mit wachsender Stichprobengröße \(n\)?,"Das Intervall wird schmaler - die Halbbreite \(\sigma\sqrt{1/n}\,c\) sinkt mit wachsendem \(n\)."
