exon shuffling,"Die Hypothese, das Gene durch Rekombination von verschiedenen Exons evolviert sind, und die frühen Exons für einzelne funktionelle Protein-Domänen kodieren."
“introns first” hypothesis,Gene für Proteine oder für (katalytisch aktive) RNAs sind wahrscheinlich in einer Form mit Introns entstanden.
“introns late” model,"Die frühen Gene enthielten keine Introns, sondern die Introns sind erst später in der Evolution in einige Gene aufgenommen worden."
z-Form,Linksgängige Doppelhelix
Umwelteinfluss auf den Phänotyp,"Modifikation der Ausprägung eines Genotyps durch äußere Umweltfaktoren, z. B. Temperatur oder Ernährung, sodass derselbe Genotyp unterschiedliche Phänotypen hervorbringen kann."
MYB,"Familie von Transkriptionsfaktoren mit charakteristischer MYB-DNA-Bindedomäne, reguliert unter anderem Zelldifferenzierung und Sekundärstoffwechsel in Pflanzen."
Dihydrouridin,"Modifiziertes Uridin mit gesättigter C5-C6-Doppelbindung, vorwiegend in der D-Schleife der tRNA. Erhöht die Flexibilität der tRNA durch Destabilisierung der Stapelwechselwirkungen."
bHLH Domäne,"DNA-Bindedomäne von Transkriptionsfaktoren, bestehend aus einer basischen Region zur DNA-Bindung und zwei Alpha-Helices, die die Dimerisierung mit einem weiteren bHLH-Protein ermöglichen."
bZIP Domäne,"DNA-Bindedomäne von Transkriptionsfaktoren, bestehend aus einer basischen Region zur DNA-Bindung und einem Leucin-Zipper-Motiv, das die Dimerisierung zweier Untereinheiten vermittelt."
b-Form,"Rechtsgängige doppelsträngige DNA-Doppelhelix, die im Vergleich zur A-Form entspannter ist und deren Nukleinbasen orthogonal zur Helixachse ausgerichtet sind. Sie ist die unter physiologischen Bedingungen typisch vorliegende Form doppelsträngiger DNA, z. B. bei Chromosomen in Zellen"
a-Form,"Rechtsgängige doppelsträngige DNA-Doppelhelix, die im Vergleich zur B-Form kompakter ist und deren Nukleinbasen nicht orthogonal zur Helixachse ausgerichtet sind. Sie ist die bei niedriger Feuchtigkeit vorliegende Form doppelsträngiger DNA, z. B. bei getrockneter DNA oder DNA-Kristallen"
