Biparentale (extranukleaere) Vererbung,Organellengenome werden von beiden Elternteilen weitergegeben. Zwischen rein maternaler und rein paternaler Vererbung existieren viele Uebergangsformen.
Extranukläere Gene,"Gene ausserhalb des Zellkerns (in Mitochondrium oder Chloroplast). Sie werden in demselben Organellenkompartiment transkribiert und translatiert, in dem sie liegen."
Annotation,"Das Zuweisen von Struktur und Funktion zu einer DNA-Sequenz: Auffinden von Genen, Exon-Intron-Struktur, kodierenden Bereichen und funktionelle Charakterisierung."
Somatische Segregation,"Zufaellige Aufteilung unterschiedlicher Organellengenome auf Tochterzellen bei der Zellteilung (relevant bei Heteroplasmie, v.a. in Pflanzen), sodass verschiedene Gewebe unterschiedliche Organellengenotypen tragen koennen."
Kopplungskarte (genetische Karte),"Zeigt Abstaende zwischen Loci in Einheiten, die auf Rekombinationshaeufigkeiten beruhen. Begrenzt durch die Notwendigkeit, Rekombinationen zwischen variablen Markern zu beobachten. Die Rekombinationshaeufigkeit ist proportional zum physikalischen Abstand der Loci."
Genetische Kopplung,"Tendenz von Genen auf demselben Chromosom, gemeinsam an die Nachkommen vererbt zu werden, statt sich unabhaengig zu verteilen (Abweichung von Mendels Unabhaengigkeitsregel). Grundlage fuer genetische Karten."
Telophase,"die Chromatiden erreichen die entgegen- gesetzten Pole, Rückbildung der Kernhülle, Dekondensierung der Chromosomen, Nucleoli wieder sichtbar"
Prophase,"Kondensierung des Chromatins, Chromosomen werden sichtbar, Spindelapparat bildet sich"
Prometaphase,"Kernhülle zerfällt, Kinetochore, Spindelapparat vollständig"
Metaphase,Bildung der Metaphasenplatte: Chromosomen ordnen sich in einer Ebene zwischen den Spindelpolen
Anaphase,"gepaarte Kinetochore trennen sich, Chromatiden wandern zu den entgegengesetzten Polen"
Cytokinese,Trennung der Zelle in zwei Tochterzellen nach der Mitose
Contig,"Aus ueberlappenden Klonen bzw. Sequenz-Reads zusammengesetzter, zusammenhaengender (""contiguous"") DNA-Bereich."
BAC (Bacterial Artificial Chromosome),"Auf dem F-Plasmid basierender Klonierungsvektor, der sehr grosse DNA-Fragmente (ca. 100--300 kb) stabil in E. coli aufnehmen kann. Grundlage fuer physikalische Karten."
Alternatives Spleissen,"Exons koennen unterschiedlich kombiniert werden, sodass aus einem Gen mehrere verschiedene mRNAs/Proteine entstehen. Ein Grund, warum ""ein Gen = ein Protein"" fuer Eukaryoten nicht zutrifft."
C-Wert-Paradoxon,Der C-Wert ist die haploide Genomgroesse (DNA-Menge) einer Art. Paradox: die Genomgroesse korreliert bei Eukaryoten nicht mit der Komplexitaet oder Genzahl des Organismus (grosse Genome enthalten viel nicht-kodierende/repetitive DNA).
Operon,"Genetische Funktionseinheit bei Bakterien, die aus einer Gruppe von Genen besteht, die über einen gemeinsamen Promotor reguliert werden und eine gemeinsame mRNA (Messenger) produzieren, die für mehrere Proteine kodiert. (Allgemeine Genetik)"
