Wildtyp,In der Natur auftretende genetische Normalform des Genotyps und Phänotyps
Transposon,Transposable Element - eine mobile Nukleinsäuresequenz (Mobiles genetisches Element) mit der Fähigkeit zur Transposition; charakterisiert durch umgebende repeats
Transposition,Einbau eines DNA-Segments an einen anderen Ort im Genom.
Transmembran-Domäne,"Hydrophober Proteinabschnitt, der eine Zellmembran durchspannt und meist als Alpha-Helix vorliegt. Membranproteine können eine oder mehrere solcher Domänen besitzen."
translocon on the inner chloroplast membrane,"Proteinkomplex in der inneren Chloroplastenmembran, der gemeinsam mit TOC den Import kernkodierter Proteine in den Chloroplasten vermittelt."
translocon on the outer chloroplast membrane,"Proteinkomplex in der äußeren Chloroplastenmembran, erkennt Transitpeptide kernkodierter Vorläuferproteine und leitet sie an TIC weiter."
translocator of the inner (mitochondrial) membrane,"Proteinkomplex in der inneren Mitochondrienmembran, importiert kernkodierte Vorläuferproteine in die mitochondriale Matrix oder inseriert sie in die Innenmembran."
translocator of the outer (mitochondrial) membrane,"Proteinkomplex in der äußeren Mitochondrienmembran, erste Erkennungs- und Translokationsstelle für kernkodierte mitochondriale Vorläuferproteine."
Transkription,Die Synthese von RNA anhand einer DNA-Matrize
Trailer,"3'-nicht-translatierter Bereich (3'-UTR) einer mRNA, der nach dem Stoppcodon liegt und regulatorische Sequenzen wie das Polyadenylierungssignal enthalten kann."
Topoisomerase,"Ein Enzym, das die Anzahl der Kreuzungspunkte der beiden Stränge in einem geschlossenen DNA-Molekül verändert. Dazu spaltet es die DNA, führt die DNA durch den Bruch und verbindet die DNA wieder miteinander. (Lewin)"
Terminationsfaktor,"Protein oder Proteinkomplex, der die Beendigung der Transkription vermittelt, indem er die RNA-Polymerase vom DNA-Template und das RNA-Transkript freisetzt."
Telomerase,"Das Ribonukleoprotein-Enzym, das am Telomer sich wiederholende Einheiten aus einem Strang bildet, indem es einzelne Basen an das 3'-Ende der DNA anfügt, gemäß der Vorgabe einer RNA-Sequenz in der RNA-Komponente des Enzyms. (Lewin)"
Telomer,Die Enden der Chromosomen
transcriptional gene silencing,epigenetische Mechanismen der Transkriptionsregulation
Translocon,"Proteinkanal in biologischen Membranen, dessen Funktion darin besteht, Polypeptide durch die Membran zu transportieren oder sie in die Lipid-Doppelschicht einzubetten"
tRNA,"NA-Moleküle, die wäh- rend der Translation spezifische Aminosäuren zu den Ribosomen transportieren"
Spleißosom,"Organell (Großer Ribonukleoprotein-Komplex aus snRNAs und Proteinen), das das Spleißen der prä-mRNA katalysiert, indem Introns entfernt und Exons miteinander verknüpft werden."
Superfamilie,"Eine Gruppe von Genen, die alle durch eine vermutete Abstammung von einem gemeinsamen Vorfahren miteinander verbunden sind, mittlerweile jedoch erhebliche Unterschiede aufweisen. (Lewin)"
Syntenie,Physikalische Ko-Lokalisierung von genetischen Loci (Reihenfolge von Loci) auf äquivalenten Chromosomen verschiedener Spezies
SSR,"= Mikrosatellit, Minisatellit, STR"
Spleißen,Entfernen der Introns
snRNP,"Komplex aus kleiner nukleärer RNA (snRNA) und Proteinen. Hauptbestandteil des Spleißosoms, katalysiert das Spleißen von prä-mRNA."
snoRNA (small nucleolar RNA),"Kleine, im Nukleolus lokalisierte RNAs, die an der Modifikation und Prozessierung der rRNA (endonukleolytische Spaltung, Nukleotid-Modifikation) beteiligt sind."
Silencing,"Sequenzspezifische Repression der Genexpression auf transkriptioneller (TGS) oder post-transkriptioneller Ebene (PTGS). Mechanismen umfassen Chromatinkondensation, DNA-Methylierung sowie gezielte Degradierung oder Translationshemmung spezifischer mRNAs, z.\,B durch RNA-Interferenz."
SINE,"Eine bedeutende Klasse kurzer (weniger als 500 bp) nicht-autonomer Retrotransposons, die etwa 13 \% des menschlichen Genoms einnehmen. (Lewin)"
Silencer,"Distales regulatorisches DNA-Element, das die Transkription eines Gens durch Bindung repressiver Transkriptionsfaktoren hemmt."
Signal Recognition Particle,"Ribonukleoprotein, das am cotranslationalen Transport von Proteinen in das endoplasmatische Retikulum (ER) von Eukaryoten und die Plasmamembran von Prokaryoten beteiligt ist"
Signal-Peptidase,"Proteinspaltendes Enzym (Protease), die an der Membran des Endoplasmatischen Retikulums (ER) innerhalb der Zelle lokalisiert sind. Erkennt spezielle Aminosäuresequenzen (Signalsequenzen) innerhalb eines Proteins. Sie spaltet im Lumen des ER das Signalpeptid von der restlichen Polypeptidkette ab"
snRNA,Small nuclear RNA; Bestandteil des Spleißosoms und an der Prozessierung von prä-mRNA durch Spleißen beteiligt.
sncRNA,"Small non-coding RNA; Sammelbegriff für kurze nicht-kodierende RNAs, die regulatorische Funktionen in der Genexpression übernehmen."
siRNA,"Small interfering RNA; kurze regulatorische RNA (ca. 21–24 Nukleotide), die durch RNA-Interferenz spezifische mRNAs abbaut oder deren Translation hemmt."
Sigma-Faktor,"Unterheit der bakteriellen RNA-Polymerase, die die spezifische Erkennung von Promotorsequenzen ermöglicht und die Initiation der Transkription steuert."
semikonservative Replikation,"Tatsächlicher Replikationsmodus der DNA, bei dem jede Tochter-Doppelhelix aus einem alten Matrizenstrang und einem neu synthetisierten Strang besteht (Meselson-Stahl-Experiment)."
RNA-Polymerase V,ranskribiert ''intergenic long ncRNA''
RNA-Polymerase II,"Im Nukleoplasma lokalisierte RNA-Polymerase, die die Synthese der 5S‑rRNAs, tRNAs, snRNAs und weiterer kleiner RNAs katalysiert"
RNA-Polymerase III,"Im Nukleoplasma lokalisierte RNA-Polymerase, die für die Synthese der mRNAs bzw. ihrer Vorläufer, die hnRNAs, sowie miRNAs zuständig ist"
RNA-Polymerase I,"Im Nukleolus lokalisierte RNA-Polymerase, die für die Synthese der rRNAs (außer der 5S‑rRNA) verantwortlich ist"
RNA-Polymerase,"Enzym, das RNA anhand einer DNA- (oder RNA-) Matrize synthetisiert. In Eukaryoten existieren mehrere Typen (Pol I–III), die unterschiedliche RNA-Klassen transkribieren."
RNA-Polymerase IV,"Pflanzenspezifische RNA-Polymerase, die an der Bildung von siRNAs und der RNA-gerichteten DNA-Methylierung beteiligt ist."
RNA,"Ribonukleinsäure; ein meist einzelsträngiges Nukleinsäuremolekül, das aus Ribonukleotiden besteht und zentrale Funktionen in der Genexpression, Katalyse und Regulation übernimmt."
