"Wann heißen zwei Ereignisse \(A, B \subseteq \Omega\) (stochastisch) unabhängig?",Wenn \(P(A \cap B) = P(A) \cdot P(B)\) gilt. Intuition: Das Wissen um das Eintreten von \(A\) ändert nichts an der eingeschätzten Wahrscheinlichkeit von \(B\) (und umgekehrt).
Wie hängt die Definition der Unabhängigkeit von \(A\) und \(B\) mit bedingten Wahrscheinlichkeiten zusammen?,\(P(A\cap B) = P(A)\cdot P(B)\) ist äquivalent zu \(P(B\mid A) = P(B)\) und zu \(P(A\mid B) = P(A)\) (jeweils sofern \(P(A)>0\) bzw.\ \(P(B)>0\)). Das Eintreten des einen Ereignisses ändert also die bedingte Wahrscheinlichkeit des anderen nicht.
Sind unabhängige Ereignisse dasselbe wie disjunkte Ereignisse?,"Nein! Unabhängigkeit \(\neq\) Disjunktheit. Disjunkte Ereignisse (\(A\cap B=\emptyset\)) sind nur dann unabhängig, wenn zusätzlich \(P(A)=0\) oder \(P(B)=0\) gilt, denn \(0 = P(\emptyset) = P(A\cap B) = P(A)\cdot P(B)\) zwingt eines der beiden Produkte auf 0."
Was folgt aus der Unabhängigkeit von \(A\) und \(B\) für die Komplemente?,"\(A,B\) unabhängig \(\Leftrightarrow\) \(A,B^c\) unabhängig \(\Leftrightarrow\) \(A^c,B^c\) unabhängig. Unabhängigkeit bleibt also erhalten, wenn man eines oder beide Ereignisse durch ihr Komplement ersetzt."
Kann ein Ereignis \(A\) unabhängig von sich selbst sein?,"Ja, genau dann wenn \(P(A) \in \{0,1\}\). Denn \(P(A) = P(A\cap A) = P(A)\cdot P(A) = P(A)^2\) gilt nur für \(P(A) \in \{0,1\}\)."
"Wann heißen \(n\) Ereignisse \(A_1,\dots,A_n \subseteq \Omega\) unabhängig?","Wenn für alle \(k=2,\dots,n\) und alle Auswahlen von \(k\) verschiedenen Indizes \(i_1,\dots,i_k \in \{1,\dots,n\}\) gilt: \(P(A_{i_1}\cap\dots\cap A_{i_k}) = P(A_{i_1})\cdots P(A_{i_k})\). Es müssen also wirklich alle Paare, Tripel, usw.\ geprüft werden, nicht nur das Gesamtprodukt."
"Reicht es, bei mehreren Ereignissen nur paarweise Unabhängigkeit zu prüfen?","Nein. Ereignisse können paarweise unabhängig sein, ohne insgesamt (d.h.\ für alle \(k\)-Tupel) unabhängig zu sein."
"Reicht es, bei mehreren Ereignissen nur die Gleichung \(P(A_1\cap\dots\cap A_n)=P(A_1)\cdots P(A_n)\) zu prüfen?","Nein. Diese einzelne Gleichung für alle \(n\) Ereignisse zusammen reicht nicht aus: Ereignisse können insgesamt diese Produktgleichung erfüllen, ohne (paarweise oder in kleineren Teilmengen) unabhängig zu sein."
"Wie modelliert man die unabhängige Nacheinanderausführung von Zufallsexperimenten \((\Omega_1,P_1),\dots,(\Omega_n,P_n)\) mit abzählbaren \(\Omega_i\)?","Man bildet den Produktraum \(\Omega = \Omega_1\times\dots\times\Omega_n\) mit Wahrscheinlichkeitsfunktion \(p(\omega) = p_1(\omega_1)\cdots p_n(\omega_n)\) für \(\omega=(\omega_1,\dots,\omega_n)\in\Omega\). Für \(A_i\subseteq\Omega_i\) sind dann die ""Zylinder-Ereignisse"" \(B_i = \Omega_1\times\dots\times A_i \times\dots\times\Omega_n\) (nur die \(i\)-te Koordinate liegt in \(A_i\), Rest beliebig) unabhängig."
"Wie definiert man \(P\) auf dem Produktraum \(\Omega=\Omega_1\times\dots\times\Omega_n\), wenn nicht alle \(\Omega_i\) abzählbar sind?",Man definiert direkt \(P(A_1\times\dots\times A_n) = P_1(A_1)\cdots P_n(A_n)\) für alle \(A_i\subseteq\Omega_i\). Diese Formel kann generell als Definition verwendet werden und ist motiviert durch den abzählbaren Fall.
