Legen die Randverteilungen von Zufallsvariablen deren gemeinsame Verteilung eindeutig fest?,"Nein, im Allgemeinen nicht. Zwei Zufallsvektoren können identische Randverteilungen haben, aber unterschiedliche gemeinsame Verteilungen (z.B.\ weil im einen Fall Unabhängigkeit vorliegt und im anderen nicht). Erst zusätzliche Information wie Unabhängigkeit legt die gemeinsame Verteilung eindeutig fest (vgl.\ Korollar zur Verteilungsfunktion)."
"Wie ist Unabhängigkeit von Zufallsvariablen $X_1,\dots,X_n$ allgemein (mit $X_i:\Omega\to E_i$) definiert?","$X_1,\dots,X_n$ heißen unabhängig, wenn für alle messbaren Mengen $B_i\subseteq E_i$ ($i=1,\dots,n$) die Ereignisse $\{X_1\in B_1\},\dots,\{X_n\in B_n\}$ (im Sinne der Unabhängigkeit von Ereignissen) unabhängig sind, d.h.\ $P(X_1\in B_1,\dots,X_n\in B_n) = P(X_1\in B_1)\cdots P(X_n\in B_n)$ für alle Wahlen von $B_1,\dots,B_n$."
"Satz I: Wie lässt sich Unabhängigkeit von $X_1,\dots,X_n$ über einelementige Ereignisse charakterisieren?","$X_1,\dots,X_n$ unabhängig $\Leftrightarrow$ $\{X_1=x_1\},\dots,\{X_n=x_n\}$ sind unabhängig für alle $x_i\in E_i$ ($i=1,\dots,n$). Man muss also nicht beliebige messbare Mengen $B_i$ prüfen, sondern es genügt, einzelne Werte zu betrachten."
"Satz II: Wie charakterisiert man Unabhängigkeit von $X_1,\dots,X_n$ mit abzählbaren Bildbereichen über die Produktform?","$X_1,\dots,X_n$ unabhängig $\Leftrightarrow$ $p_{X_1,\dots,X_n}((x_1,\dots,x_n)) = \prod_{i=1}^n p_{X_i}(x_i)$ für alle $(x_1,\dots,x_n)$, d.h.\ die gemeinsame Zähldichte zerfällt in das Produkt der Randdichten."
"Welche einzelne Gleichung genügt, um Unabhängigkeit von $X_1,\dots,X_n$ mit abzählbarem Bildbereich zu zeigen?","Es genügt zu zeigen: $P(X_1=x_1,\dots,X_n=x_n) = P(X_1=x_1)\cdots P(X_n=x_n)$ für alle $x_i \in X_i(\Omega)$. Man muss NICHT zusätzlich Paare, Tripel etc.\ separat prüfen — die Produktform für alle $n$-Tupel gleichzeitig reicht hier aus."
"Wie lässt sich Unabhängigkeit von $X_1,\dots,X_n$ über die (gemeinsame) Verteilungsfunktion charakterisieren?","$X_1,\dots,X_n$ unabhängig $\Leftrightarrow$ $P(X_1\le a_1,\dots,X_n\le a_n) = P(X_1\le a_1)\cdots P(X_n\le a_n) = F_{X_1}(a_1)\cdots F_{X_n}(a_n)$ für alle $a_1,\dots,a_n \in \mathbb{R}$. Diese Charakterisierung funktioniert unabhängig davon, ob die $X_i$ diskret sind oder eine Dichte haben."
"Was folgt aus Unabhängigkeit von $X_1,\dots,X_n$ für die gemeinsame Verteilung?","Sind $X_1,\dots,X_n$ unabhängig, so ist ihre gemeinsame Verteilung eindeutig durch die Randverteilungen von $X_1,\dots,X_n$ bestimmt. Ohne Unabhängigkeit gilt das nicht (siehe Alex/Kim-Beispiel: gleiche Randverteilungen, verschiedene gemeinsame Verteilung)."
"Muss man bei der Anwendung des Produktform-Kriteriums $X_{i_1},\dots,X_{i_k}$ noch separat betrachten?","Nein. Gilt $P(X_1=x_1,\dots,X_n=x_n) = P(X_1=x_1)\cdots P(X_n=x_n)$ für alle $x_i$, so ist damit die Unabhängigkeit von $X_1,\dots,X_n$ bereits vollständig gezeigt — es ist nicht nötig, Teilkollektionen (Paare, Tripel, ...) separat zu prüfen."
Welche zwei Anwendungsrichtungen hat das Produktform-Kriterium für Unabhängigkeit?,"(a) Beweisrichtung: Findet man die Produktform $p_{X_1,\dots,X_n} = \prod_i p_{X_i}$, so ist Unabhängigkeit gezeigt. (b) Konstruktionsrichtung: Sind die Randverteilungen der $X_i$ bekannt und sollen die $X_i$ unabhängig sein, so erhält man die gemeinsame Verteilung als Produkt der Randverteilungen: $p_{X_1,\dots,X_n}(x_1,\dots,x_n) = \prod_i p_{X_i}(x_i)$."
"Was gilt für die Summe zweier unabhängiger, Poisson-verteilter Zufallsvariablen $X_1,X_2$ mit Parametern $\lambda_1,\lambda_2$?","$X_1+X_2$ ist wieder Poisson-verteilt, und zwar mit Parameter $\lambda_1+\lambda_2$. Beweisidee: $P(X_1+X_2=n) = \sum_{k=0}^n P(X_1=k)P(X_2=n-k)$ (Unabhängigkeit), Einsetzen der Poisson-Zähldichten und Anwenden des Binomischen Lehrsatzes liefert $\frac{(\lambda_1+\lambda_2)^n}{n!}e^{-(\lambda_1+\lambda_2)}$."
