Wie ist die Klasse P definiert (formal)?,"Die Menge der Probleme, die von einer deterministischen Turingmaschine in polynomieller Laufzeit entschieden werden."
Was bedeutet P anschaulich?,"Probleme, die sich effizient (in polynomieller Zeit) LÖSEN lassen."
Wie ist die Klasse NP definiert (formal)?,"Die Menge der Probleme, die von einer nichtdeterministischen Turingmaschine in polynomieller Zeit akzeptiert werden - äquivalent: deren Ja-Instanzen einen in Polyzeit verifizierbaren Zeugen besitzen."
Was bedeutet NP anschaulich?,"Probleme, bei denen man eine gegebene Lösung effizient PRÜFEN kann (auch wenn das Finden schwer sein mag)."
Wann ist ein Problem \(A\) NP-hart?,Wenn sich jedes Problem \(B\in\mathrm{NP}\) polynomiell auf \(A\) reduzieren lässt: \(B\le_p A\) für alle \(B\in\mathrm{NP}\).
Wann ist ein Problem NP-vollständig?,Wenn es NP-hart ist UND selbst in NP liegt.
"Welche Inklusionen gelten zwischen P, NP und PSPACE?","\(\mathrm{P}\subseteq\mathrm{NP}\subseteq\mathrm{PSPACE}\). Ob die Inklusionen echt sind, ist offen."
Was bedeutet \(A\le_p B\) (formal)?,Es gibt eine in Polynomialzeit berechenbare totale Funktion \(f\) mit \(x\in A\iff f(x)\in B\) für alle Eingaben \(x\).
Was bedeutet \(A\le_p B\) anschaulich?,"\(A\) ist höchstens so schwer wie \(B\): löst man \(B\) effizient, so über \(f\) auch \(A\)."
Welche vier Bedingungen muss eine Reduktion \(A\le_p B\) per \(f\) erfüllen?,"(1) \(f\) ist total, (2) \(f\) ist in Polyzeit berechenbar (inkl polynomieller Ausgabelänge), (3) \(x\in A\iff f(x)\in B\), (4) der Typ/Definitionsbereich passt (Bild in der Grundmenge von \(B\))."
"In welche Richtung reduziert man, um NP-Härte von \(A\) zu zeigen?",Man reduziert ein bekannt NP-hartes Problem AUF \(A\) (z.B \(\mathrm{SAT}\le_p A\)) - nicht umgekehrt.
Warum kann eine Abbildung mit \(f(\dots)=2^{a+b}\) trotz korrekter Äquivalenz keine polynomielle Reduktion sein?,Weil die Ausgabe exponentiell viele Bits hat (Länge \(\sim a+b\)); die Ausgabelänge - und damit die Berechnung - ist nicht polynomiell in der Eingabelänge.
"Warum ist eine partielle Abbildung (z.B \(f(x,y)=y/x\)) i.A keine gültige Reduktion?",Weil sie nicht total ist (für \(x=0\) bzw bei nicht-ganzzahligem Ergebnis undefiniert); Reduktionen müssen auf dem ganzen Definitionsbereich definiert sein.
Was ist eine Gödelisierung?,"Eine injektive, berechenbare Kodierung (z.B von Wörtern/Objekten in Zahlen), deren Umkehrung ebenfalls berechenbar ist."
Muss eine Gödelisierung polynomiell berechenbar sein?,"Nein. Verlangt wird nur Berechenbarkeit (mit berechenbarer Umkehrung) und Injektivität, nicht Polynomialität."
Muss eine Gödelisierung surjektiv sein?,Nein. Injektivität genügt; nicht jede Zahl muss ein Urbild haben.
