"Warum ist ein unterbrochenes (""interrupted"") Gen laenger als sein reifes RNA-Produkt? Was gilt fuer Reihenfolge und Abstaende der Exons?","Weil es zusaetzlich Introns enthaelt, die aus der reifen RNA herausgespleisst werden. Die Exons erscheinen in der RNA in derselben Reihenfolge wie in der DNA (kolinear), aber die Abstaende entlang des Gens entsprechen nicht den Abstaenden entlang der mRNA bzw. des Polypeptids -- die Introns ""strecken"" das Gen."
"Wie haengen Exons oft mit Proteindomaenen zusammen (Stichwort Exon-Shuffling, bZIP)?",Exons kodieren haeufig fuer einzelne Protein(sub)domaenen; Introns liegen dann oft an Domaenengrenzen. Durch Exon-Shuffling koennen solche Domaenen-Exons zu neuen Genen kombiniert werden. Beispiel: bZIP-Domaenen.
Welche Auswirkungen haben Mutationen in Introns in der Regel?,"Meist keine (stille Mutationen), da Introns herausgespleisst werden. Ausnahmen: Mutationen an den Spleiss-Stellen (5'-GT, 3'-AG), am Verzweigungspunkt (branch point) oder in intronischen regulatorischen/Enhancer-Elementen koennen das Spleissen bzw. die Regulation stoeren."
Warum ist bei mehrzelligen Eukaryoten die Anzahl der Genfamilien evtl. ein besserer Komplexitaetsindikator als die reine Genzahl?,Viele Gene gehoeren zu Familien verwandter Mitglieder (oft $\geq$10). Die Zahl der unterschiedlichen Familien (= Zahl verschiedener Genarten/Funktionen) spiegelt die funktionelle Vielfalt und damit die Komplexitaet besser wider als die bloasse Gesamtzahl der Gene.
Welche Rolle spielen Transposons in der (maessig) repetitiven DNA?,Sie bilden einen wesentlichen Teil der maessig repetitiven DNA.
Korreliert die Genomgroesse mit der morphologischen Komplexitaet?,"Bei niederen Eukaryoten ja, bei hoeheren Eukaryoten nicht."
Wie stark korreliert die Genomgroesse mit der Genanzahl bei Pro- vs. Eukaryoten?,"Bei Prokaryoten eng/proportional. Bei Eukaryoten schwaecher: einzellige Eukaryoten liegen im Groessenbereich der groessten Bakteriengenome; Mehrzeller haben mehr Gene, aber die Genzahl korreliert schlecht mit der Genomgroesse."
"Wie schaetzt man die Anzahl der ""Genarten"" und die Mindestgroesse des Proteoms ab?",Genarten $\approx$ Anzahl einzigartiger Gene + Anzahl der Genfamilien. Aus der Zahl der Genarten laesst sich die Mindestgroesse des Proteoms abschaetzen.
Welcher Anteil des Genoms kodiert tatsaechlich fuer Proteine (z.B. beim Menschen)?,"Nur ein kleiner Anteil (beim Menschen ca. 1--2 \% kodierende Sequenz). Der Grossteil ist nicht-kodierend: regulatorische Bereiche, Introns und repetitive DNA/Transposons."
Wie haengt die Mindestanzahl benoetigter Gene mit der Komplexitaet zusammen?,"Die Mindestzahl an Genen, die ein Organismus braucht, steigt mit seiner Komplexitaet."
Warum steigt die Genzahl nicht immer/proportional mit der Komplexitaet des Organismus?,"Weil mehr Funktion pro Gen moeglich ist: durch alternatives Spleissen, posttranslationale Modifikationen und kombinatorische Genregulation, sowie durch die Bedeutung nicht-kodierender regulatorischer DNA. Komplexitaet entsteht also nicht allein durch mehr Gene."
Wozu nutzt man die Konservierung von Syntenie in der vergleichenden Genomik?,Zur Etablierung von Orthologie zwischen genomischen Regionen und als Hinweis auf funktionell wichtige Zusammenhaenge zwischen Genen: eine konservierte Genanordnung deutet auf gemeinsame Herkunft bzw. Funktion hin.
Worauf sind Genomgroessenunterschiede zwischen (nah) verwandten Arten hauptsaechlich zurueckzufuehren -- und worauf nicht?,Hauptsaechlich auf repetitive Sequenzen und Transposons (TEs). In der Regel NICHT auf deutlich unterschiedliche Genzahlen.
Liegen Gene in repetitiver oder nicht-repetitiver DNA? Wie werden Transposons behandelt?,"Gene liegen meist (aber nicht ausschliesslich) in nicht-repetitiver DNA. Transposons werden getrennt von Genen annotiert und gezaehlt, obwohl man auch in ihnen Promotor-/CDS-Regionen findet."
"Wie gross ist der repetitive Anteil des menschlichen Genoms, und welches Mass spiegelt die Komplexitaet besser wider als die Genomgroesse?",Fast 50 \% des menschlichen Genoms sind repetitiv (Grossteil Transposon-Sequenzen). Die meisten Strukturgene liegen in nicht-repetitiver DNA. Die Menge der nicht-repetitiven DNA spiegelt die Komplexitaet besser wider als die Gesamtgroesse des Genoms.
Wie unterscheiden sich hoch-repetitive und Einzelkopie-Sequenzen in der Reassoziationskinetik?,"Hoch-repetitive Sequenzen lagern sich schnell zusammen (niedriger $C_0t$-Wert), Einzelkopiesequenzen nur langsam (hoher $C_0t$). Bei Viren/Bakterien sind die Reassoziationskurven einfach, bei vielzelligen Organismen komplex (mit mittel- und hochrepetitiven Anteilen)."
