Wann ist die Poisson-Approximation ist gut?,"Wenn n groß im Vergleich zu k ist (\(n >> k\)) und p klein ist ( \(n >> \alpha := np\)). Das heißt insbesondere, daß die Erfolgswahrscheinlichkeit klein sein muss."
Was ist ein Elementarereignis?,"Ein möglicher Ausgang eines Zufallsexperiments. Notation: kleiner griechischer Buchstabe \(\omega\) (omega). Je nach Kontext auch andere Symbole, z.B. \(k\) für natürliche Zahlen oder \(x\) für reelle Zahlen."
Was ist ein Ereignisraum \(\Omega\)?,"Die Menge aller Elementarereignisse, also aller möglichen Ausgänge eines Zufallsexperiments. Muss nichtleer sein (\(\Omega \neq \emptyset\)). Notation: großer griechischer Buchstabe \(\Omega\) (Omega). Bei mehreren Ereignisräumen: \(\Omega, \tilde\Omega, \Omega_1, \Omega_2, \dots\)"
Wie wählt man den Ereignisraum beim Würfeln bzw. bei der Zeitmessung?,"Würfeln: \(\Omega = \{1,\dots,6\}\) (oder Würfelsymbole). Zeitmessung: \(\Omega = [0,\infty)\) als sinnvolle Grundwahl, kann bei Zusatzinformationen auf ein kleineres Intervall eingeschränkt werden. Wichtig: Bei Angabe von \(\Omega\) stets die Interpretation der Elementarereignisse angeben, z.B. ``Dabei bedeutet \(\omega = 1\), dass der Würfel eine Eins zeigt''."
Was ist ein Ereignis \(A\)?,"Eine (messbare) Teilmenge des Ereignisraums, \(A \subseteq \Omega\). Auch \(A=\emptyset\) und \(A=\Omega\) sind zulässig. Sprechweise: \(\omega \in A\) bedeutet ``\(A\) ist eingetroffen''. Formal ist \(A\) ein Element der Potenzmenge \(\mathcal{P}(\Omega)\), also \(A \in \mathcal{P}(\Omega)\)."
Ist ein Elementarereignis auch ein Ereignis?,"Ja. Ist \(\omega \in \Omega\) ein Elementarereignis, so ist die einelementige Menge \(\{\omega\} \in \mathcal{P}(\Omega)\) ein Ereignis in \(\Omega\)."
"Welche Ereignisse betrachtet man, wenn \(\Omega \subseteq \mathbb{R}^n\) weder endlich noch abzählbar unendlich ist?","Man beschränkt sich auf Ereignisse, die Intervalle oder bekannte geometrische Figuren sind (Dreieck, Rechteck, Kugel), sowie abzählbare Schnitte oder Vereinigungen solcher Objekte. Dies vermeidet Probleme der Maß- und Integrationstheorie."
Was ist eine Zähldichte / Wahrscheinlichkeitsfunktion \(\mu\)?,"Sei \(\Omega \neq \emptyset\) abzählbar. Eine Abbildung \(\mu: \Omega \to [0,1]\) mit \(\sum_{\omega \in \Omega} \mu(\omega) = 1\) (Normierung) heißt Zähldichte bzw. Wahrscheinlichkeitsfunktion auf \(\Omega\)."
Wie berechnet man aus einer Zähldichte \(\mu\) die Wahrscheinlichkeit \(P(A)\) eines Ereignisses?,\(P(A) := \sum_{\omega \in A} \mu(\omega)\). \(P\) heißt Wahrscheinlichkeitsmaß und liegt immer zwischen 0 und 1.
Welchen Wert hat \(P(\emptyset)\)?,Konvention: \(P(\emptyset) = 0\).
Welche drei Grundeigenschaften hat ein Wahrscheinlichkeitsmaß \(P\) auf abzählbarem \(\Omega\)?,"(1) \(0 \leq P(A) \leq 1\) für alle \(A \in \mathcal{P}(\Omega)\). (2) \(P(\emptyset) = 0\). (3) \(P(\Omega) = 1\). \(P\) ist eine Abbildung \(P: \mathcal{P}(\Omega) \to [0,1]\)."
Wie zeigt man \(0 \leq P(A) \leq 1\)?,"Untere Schranke: \(P(A) = \sum_{\omega \in A} \mu(\omega) \geq 0\), da alle Summanden nichtnegativ sind. Obere Schranke: \(P(A) = \sum_{\omega \in A}\mu(\omega) \leq \sum_{\omega \in \Omega}\mu(\omega) = 1\), ebenfalls weil alle Summanden nichtnegativ sind."
