"Evolution\""are Populationsgenetik","Die Wissenschaft der genetischen Variation innerhalb und zwischen Populationen sowie der Kr\""afte, die diese beeinflussen"
"Multizellul\""arer Organismus","Ein Organismus, der aus mehr als einer Zelle besteht. Multizellularit\""at ist mind 25-mal unabh\""angig entstanden; sie erfordert Zelladh\""asion, Kommunikation und (oft) spezialisierte Fortpflanzungszellen"
Totipotente Zelle,"Zelle, die einen vollst\""andigen eigenen Organismus bilden kann (z.B die Zygote)"
Pluripotente Zelle,"Zelle, die sich zu Zellen aller drei Keimbl\""atter (Ektoderm, Mesoderm, Entoderm) und der Keimbahn entwickeln kann"
Unipotente Zelle,"Vorl\""auferzelle (''Blast''), die sich nur zu Zellen eines bestimmten Gewebetyps entwickeln kann (z.B H\""amozytoblast)"
Keimzelle vs somatische Zelle,"Keimzellen (Gameten/Keimbahn) geben Erbinformation an die n\""achste Generation weiter; somatische Zellen bilden den K\""orper (Soma). Mutationen werden nur vererbt, wenn sie in der Keimbahn auftreten (Ausnahme: ungeschlechtliche/klonale Vermehrung)"
Zygote,"Die durch Verschmelzung zweier Gameten entstandene (totipotente) Zelle, aus der sich ein Organismus entwickelt"
"Keimbl\""atter","Drei embryonale Zellschichten: Ektoderm (z.B Haut, Nervensystem), Mesoderm (z.B Muskel, Knochen, Blut), Entoderm (z.B Darm-/Lungenepithel)"
Hox-Gene,"Stark konservierte Familie von Transkriptionsfaktor-Genen, die die Anterior-Posterior-Achse (Kopf-Schwanz) im Tierembryo organisieren; in Clustern angeordnet"
"R\""aumliche Kolinearit\""at","Die Reihenfolge der Hox-Gene auf dem Chromosom entspricht ihrer Expression entlang der K\""orperachse"
"Zeitliche Kolinearit\""at","Die Reihenfolge der Hox-Gene auf dem Chromosom entspricht dem Zeitpunkt ihrer Aktivierung; \(3'\)-Gene werden fr\""uher und anteriorer aktiviert als \(5'\)-Gene"
"Hom\""ootische Mutation","Mutation/Fehlexpression (z.B von Hox-Genen), die ein K\""orpersegment in die Identit\""at eines anderen umwandelt (z.B Antennapedia bei \art{Drosophila})"
Heterochronie,"Evolution\""are \""Anderung des Timings der Genexpression w\""ahrend der Entwicklung (Sonderfall Neotenie)"
Heterotopie,"Evolution\""are \""Anderung des Ortes der Genexpression im Organismus (oft Voraussetzung f\""ur Exaptation)"
Heterometrie,"Evolution\""are \""Anderung der Intensit\""at der Genexpression (z.B HMGA2 \(\to\) Schnabelgr\""o{\ss}e bei Darwinfinken)"
Neotenie,Sonderfall der Heterochronie: Beibehaltung juveniler Merkmale im Erwachsenenalter (z.B Kiemen beim Axolotl)
Exaptation,"Umfunktionierung eines k\""orperlichen Merkmals f\""ur eine neue Aufgabe (z.B Schildkr\""otenpanzer aus Rippen)"
"Ph\""anotypische Plastizit\""at","F\""ahigkeit eines Organismus mit einem Genotyp, seinen Ph\""anotyp (Physiologie, Morphologie, Verhalten) als Reaktion auf die Umwelt zu \""andern, ohne die DNA-Sequenz zu \""andern; besonders relevant bei sessilen Organismen"
Sexueller Konflikt (sexueller Antagonismus),"Situation, in der bestimmte Gene unterschiedliche Fitnesseffekte f\""ur die beiden Geschlechter haben"
Intralokus sexueller Konflikt,"Konflikt um ein einzelnes Merkmal: dasselbe Allel erf\""ahrt in M\""annchen und Weibchen gegens\""atzliche Selektion (Bsp T\""ochter fitter Rothirsch-M\""annchen haben geringere Fitness)"
Interlokus sexueller Konflikt,"Fitnessvorteil eines Merkmals in einem Geschlecht, dem das andere mit Gegenanpassung an einem anderen Locus begegnet (evolution\""ares Wettr\""usten; Bsp Samenfl\""ussigkeitsproteine bei \art{Drosophila})"
