Nenne 4 Methoden zum Nachweis/zur Analyse von Transkripten (mit vollem Namen).,"Northern Blot; RT-PCR (Reverse-Transkriptase-PCR); qRT-PCR / Real-Time-PCR (quantitative RT-PCR); RNA-Seq (RNA-Sequenzierung); (weitere: Microarray, In-situ-Hybridisierung, Reportergen-Analyse)"
Northern Blot - Prinzip und Vor-/Nachteil?,"RNA gelelektrophoretisch auftrennen, auf Membran blotten, mit markierter sequenzspezifischer Sonde hybridisieren. Vorteil: direkte Messung. Nachteil: viel RNA noetig"
RT-PCR - Prinzip und Vor-/Nachteil?,"RNA wird per reverser Transkription in cDNA umgeschrieben, cDNA dann per PCR amplifiziert und im Gel nachgewiesen. Vorteil: wenig RNA noetig (enzymatische Amplifikation). Nachteil: indirekte Messung"
qRT-PCR / Real-Time-PCR - Prinzip?,RT-PCR mit Fluoreszenz-Detektion in Echtzeit; die Zyklenzahl bis zum Schwellenwert (Ct) ist ein Mass fuer die Ausgangsmenge des Transkripts \(\to\) Quantifizierung
Warum kann RNA nicht direkt als PCR-Template dienen? Was macht man?,DNA-Polymerasen brauchen ein DNA-Template; daher wird RNA zuerst per reverser Transkription in komplementaere DNA (cDNA) umgeschrieben
Was ist reverse Transkription?,"Umschreiben von RNA in DNA durch eine RNA-abhaengige DNA-Polymerase (reverse Transkriptase, z.B. M-MuLV). ""Umgekehrt"" gegenueber der normalen Transkription (DNA \(\to\) RNA)"
Unterschied Gesamt-RNA vs. mRNA/poly(A)+ RNA?,"Gesamt-RNA = alle RNA-Molekuele der Zelle (v.a. rRNA); mRNA/poly(A)+ = Transkripte mit Poly(A)-Schwanz, nur ca. 1-10\% der Gesamt-RNA"
Warum darf bei RT-PCR keine genomische DNA mehr vorhanden sein?,"Genomische DNA wuerde als Template mitamplifiziert und das Ergebnis verfaelschen (falsch-positives Signal, falsche Fragmentgroesse durch Introns). Daher DNase-Verdau"
RT-PCR-Versuch: gesamter Ablauf von der Ernte bis zum Gel-Foto (Stichpunkte).,"1) Gewebe getrennt ernten (Wurzel/Keimblaetter), auf Eis/N\(_2\); 2) RNA-Extraktion (Zelllyse, SDS, Protein-Praezipitation, Isopropanol-Faellung, EtOH-Wasch, in RNase-freiem H\(_2\)O loesen); 3) Konzentration photometrisch (A\(_{260}\)); 4) DNase-Verdau; 5) reverse Transkription \(\to\) cDNA; 6) PCR (genspez. Primer + Aktin-Kontrolle); 7) Agarosegelelektrophorese; 8) EtBr-Faerbung + Foto unter UV"
Warum Material zur RNA-Extraktion schnell ernten und kuehl lagern?,mRNA-Mengen aendern sich schnell und RNA wird leicht degradiert (RNasen). Schnelle Ernte + Kuehlung verhindert versuchsbedingte Verschiebung der relativen RNA-Mengen und Degradation
Wie werden bei der RNA-Isolierung RNasen inaktiviert?,"Durch Bedingungen, die Proteine sofort denaturieren (z.B. SDS, lysierende/chaotrope Puffer); dadurch werden auch RNasen inaktiviert und der Zellaufschluss gefoerdert"
DNase-Verdau - Zweck und wie wird er gestoppt?,"Entfernt kontaminierende genomische DNA aus der RNA-Praeparation. Gestoppt durch EDTA-Zugabe (komplexiert Mg\(^{2+}\)) und Erhitzen (75\(^\circ\)C, 10 min \(\to\) Enzym denaturiert)"
cDNA-Synthese (ProtoScript-Kit) - Schritte?,"RNA + Oligo-d(T)-Primer 5 min 70\(^\circ\)C, sofort auf Eis; Zugabe M-MuLV-Reaktionsmix + Enzymmix; 1 h 42\(^\circ\)C (Synthese); 5 min 80\(^\circ\)C (Inaktivierung); cDNA auf Eis"
Wozu dient der Oligo-d(T)-Primer bei der reversen Transkription?,Bindet an den Poly(A)-Schwanz der mRNA und startet dort die cDNA-Synthese \(\to\) schreibt bevorzugt mRNA in cDNA um
Warum Aktin2-Primer als Kontrolle bei der RT-PCR?,"Aktin2 ist konstitutiv exprimiert (Housekeeping-Gen); ein Produkt zeigt, dass cDNA-Synthese und PCR funktioniert haben und vergleichbare cDNA-Mengen vorliegen (Positivkontrolle)"
"RNA-Bleach-Gel - wozu, und was erwartet man?",Kontrolle von RNA-Qualitaet und -Quantitaet. Erwartet werden mindestens zwei Banden (28S und 18S rRNA); scharfe Banden = intakte RNA
Was misst die Absorption bei A\(_{260}\)?,Absorption der Nukleinsaeuren (aromatische Basen) bei 260 nm \(\to\) Mass fuer DNA-/RNA-Konzentration
Was misst die Absorption bei A\(_{280}\)?,"Absorption von Proteinen (aromatische Aminosaeuren Trp, Tyr, Phe) bei 280 nm"
Was misst die Absorption bei A\(_{230}\)?,"Absorption von Kontaminationen wie Phenol, chaotropen Salzen, Kohlenhydraten/organischen Verbindungen bei 230 nm"
A\(_{260}\)/A\(_{280}\) - Bedeutung und Zielwerte?,"Reinheit bzgl. Proteinkontamination. Reine DNA \(\approx\) 1,8; reine RNA \(\approx\) 2,0. Deutlich niedriger \(\to\) Protein-/Phenolkontamination"
A\(_{260}\)/A\(_{230}\) - Bedeutung und Zielwert?,"Reinheit bzgl. organischer Kontaminanten (Phenol, Salze, Kohlenhydrate). Zielwert \(\approx\) 2,0-2,2. Niedriger \(\to\) Verunreinigung"
