#separator:tab
#html:true
Mit welchen Geräten bzw. Verfahren kann man Metabolite trennen und bestimmen?	<ul><li>Gas-Chromatografie-Massenspektrometrie<br></li><li>Flüssigchromatografie-Massenspektrometrie<br></li><li>Hochleistungsflüssigkeits-Chromatographie<br></li></ul>
Types of Genomes	Viral,&nbsp;Prokaryotic,&nbsp;Eukaryotic
Woraus bestehen virale Genome?	RNA oder DNA
Woraus bestehen prokaryotische Genome?	Meistens ein einzelnes kreisförmiges Chromosom, manchmal auch lineares Chromoosom oder mehrere Chromosomen
Woraus bestehen eukaryotische Genome?	Aus einem oder mehreren linearen Chromosomen
Was ist ein großer unterschied zwischen viralen Genomen im Gegensatz zu prokaryotischen und eukaryotischen Genomen?&nbsp;	Virale Genome können auch aus RNA bestehen.&nbsp;
Welche Kapsid-Strukturen können&nbsp;Bakteriophagen haben?&nbsp;	<ul><li>Icosahedral<br></li><li>Head-and-tail<br></li><li>Filamentous<br></li></ul>
"Wie nennt sich die Region in der das Genom ""aufbewahrt"" wird bei Prokaryoten?&nbsp;"	Nukleoid bzw. die nukleoide Region
Was ist ein wichtiger Unterschied im zellaufbau zwischen eukaryotischen und prokaryotischen Zellen?&nbsp;	Prokaryotische Zellen haben keinen Zellkern, sondern das Nukleoid bzw. die nukleoide Region.
Was bedeutet teilweise doppelsträngig in Bezug auf Genome?	Das beschreibt DNA-Moleküle, die sowohl doppelsträngige als auch einzelsträngige Abschnitte enthalten.&nbsp;
Welches Virus hat ein teilweise doppelsträngiges Genom?&nbsp;	Hepatitis B
Inwiefern ist es für Viren vorteilhaft ein teilweise doppelsträngiges Genom zu haben?&nbsp;	Die Fähigkeit, sowohl doppelsträngige als auch einzelsträngige DNA-Abschnitte zu haben, ermöglicht es Zellen, flexibel auf verschiedene metabolische Anforderungen zu reagieren, insbesondere während der Replikation und Genexpression.
Was tut Topoisomerase I?	Schneidet zwei Stränge und verklebt sie. Dieser Vorgang benötigt Energie und ist daher ATP-abhängig.
Welche Toposiomerase schneidet zwei Stränge und verklebt sie?	Topoisomerase I
Was macht Topoisomerase II?	Entfernt das „Supercoil“, indem sie nur einen Strang schneidet, sich um den geschlossenen Strang dreht und die Lücke wieder verschließt.
Welche Toposiomerase schneidet nur einen Strang?&nbsp;	Topoisomerase II
Wofür ist&nbsp;Supercoiled DNA relevant?	Sie sorgt dafür, dass stets eine Mindestmenge von Basenpaaren geöffnet ist, um so den Polymerasen zu ermöglichen, den Vorlage-Strang zum neuen Doppelstrang zu ergänzen. Dieses gilt für die Replikation und für die Transkription.
In welchen Zellen kommt Supercoiled DNA vor?	In jeder lebenden Zelle
Was ist die Definition von NAP? 	Nucleotid-associated Protein
Nennen Sie 3 NAPs	• HU<br>• H-NS<br>• Fis
Wie heißt das NAP HU vollständig?&nbsp;	Heat-unstabel protein
Wie heißt das NAP H-NS vollständig?&nbsp;	Histone-like Structuring protein
Wie heißt das NAP FIS vollständig?&nbsp;	Factor for inversion stimulation
Wie heißt das NAP IHF vollständig?&nbsp;	Integration Host Factor
Wie heißt das NAP Dps vollständig?&nbsp;	DNA-binding protein from starved cell
Was ist die Funktion von HU?	bindet und stabilisiert DNA, erzeugt einen offenen Nukleoproteinkomplex
Was ist die Funktion von H-NS?	beeinflusst DNA Topologie: bewirkt eine starke Verdichtung der DNA =&gt; Regulation der Genexpression
Was ist die Funktion von Fis?	beeinflusst Initiation der DNA Replikation
Was ist die Funktion von IHF?	fördert Schleifenbildung
Was ist die Funktion von Dps?	induziert kistallinähnlichen stabilen DNA Zustand zum Schutz der DNA
Was ist MukBEF?	Ein Structural maintenace chromosome (SMC)
