"Welche Grundannahme trifft man in der schließenden Statistik über das Zustandekommen einer Stichprobe \(x_1,\dots,x_n\)?","Man nimmt an, dass es einen Wahrscheinlichkeitsraum, unabhängige identisch verteilte Zufallsvariablen \(X_1,\dots,X_n\) und ein \(\omega\in\Omega\) gibt, sodass \((x_1,\dots,x_n)=(X_1(\omega),\dots,X_n(\omega))\) gilt -- die Stichprobe ist also die Realisierung von \(n\) unabhängig wiederholten, identisch verteilten Zufallsexperimenten."
"Was sind die Stichprobenvariablen \(X_1,\dots,X_n\)?","Die zugrundeliegenden Zufallsvariablen, deren Realisierung die Stichprobe liefert -- sie modellieren das (unabhängig wiederholte) Zufallsexperiment, aus dem die Daten stammen."
"Was ist eine Stichprobe (formal, als Realisierung)?","Für ein gegebenes \(\omega\in\Omega\) ist die Stichprobe \(x=(x_1,\dots,x_n)=(X_1(\omega),\dots,X_n(\omega))=X(\omega)\) -- also der konkret beobachtete Wert der Stichprobenvariablen."
"Was ist der wesentliche Unterschied zwischen den Stichprobenvariablen \(X_1,\dots,X_n\) und einer Stichprobe \(x_1,\dots,x_n\)?","Die Stichprobenvariablen sind Zufallsvariablen (zufällig, vor der Erhebung); eine Stichprobe ist eine konkrete, feste Realisierung dieser Zufallsvariablen -- die tatsächlich beobachteten Zahlenwerte."
Was ist der Stichprobenraum \(\mathcal{X}\)?,"Der Bildbereich \(\mathcal{X}=X(\Omega)\) der \(n\)-dimensionalen Zufallsvariablen \(X=(X_1,\dots,X_n)\) -- die Menge aller möglichen Stichproben bei gegebenem Experiment."
Was ist ein statistisches Modell?,"Eine Familie \(\{P_\theta : \theta\in\Theta\}\) von Wahrscheinlichkeitsmaßen auf dem Stichprobenraum, welche die möglichen Verteilungen von \(X=(X_1,\dots,X_n)\) beschreibt."
Was sind Parameterraum \(\Theta\) und Parameter \(\theta\)?,"In einem statistischen Modell \(\{P_\theta:\theta\in\Theta\}\) heißt \(\Theta\) der Parameterraum, und jedes \(\theta\in\Theta\) heißt Parameter -- er indiziert, welches konkrete Wahrscheinlichkeitsmaß aus der Modellfamilie vorliegt."
"Muss der Parameterraum \(\Theta\) bei Bernoulli-Stichprobenvariablen immer ganz \([0,1]\) sein?","Nein. Hat man Grund zur Annahme, dass gewisse Werte der Erfolgswahrscheinlichkeit ausgeschlossen werden können, darf \(\Theta\) auch als echte Teilmenge von \([0,1]\) gewählt werden."
Welche drei Arten von Resultaten kann man anhand einer Stichprobe über den Parameter gewinnen?,"Punktschätzer (ein einzelner Wert \(\theta\) bzw.\ \(g(\theta)\)), Bereichsschätzer (eine Teilmenge von \(\Theta\)) und Hypothesentest (eine Ja-Nein-Entscheidung über eine Hypothese zum Parameter)."
Wie ist ein Schätzer für den Parameter \(\theta\) definiert?,Eine Abbildung \(t:\mathcal{X}\to\Theta\) vom Stichprobenraum in den Parameterraum. Auch die Zufallsvariable \(T=t(X)\) wird Schätzer genannt.
Was ist eine Schätzung (im Unterschied zum Schätzer)?,"Die Realisierung \(t(x)\) des Schätzers für eine konkrete Stichprobe \(x\) -- der Zahlenwert, den man erhält, wenn man die Rechenvorschrift \(t\) auf die beobachteten Daten anwendet."
Was ist der wesentliche Unterschied zwischen einem Schätzer und einer Schätzung?,"Ein Schätzer ist eine Rechenvorschrift/Funktion, die jeder möglichen Stichprobe einen Parameterwert zuordnet; eine Schätzung ist das konkrete Ergebnis dieser Rechenvorschrift für eine tatsächlich beobachtete Stichprobe."
Wie verallgemeinert sich der Schätzerbegriff auf eine Funktion \(g(\theta)\) des Parameters?,"Für eine Abbildung \(g:\Theta\to\Gamma\) ist ein Schätzer für \(g(\theta)\) eine Abbildung \(t:\mathcal{X}\to\Gamma\) (bzw.\ die Zufallsvariable \(T=t(X)\)). Der Schätzer für \(\theta\) selbst ist der Spezialfall \(\Gamma=\Theta\), \(g=\mathrm{id}\)."
