Was ist das Ziel eines statistischen Tests?,"Anhand von Daten zu entscheiden, ob eine zuvor formulierte Annahme über die Verteilung bestätigt werden kann."
Welche Bestandteile umfasst die abstrakte Formulierung eines Testproblems (neben dem statistischen Modell selbst)?,"Hypothese (\(\theta\in H_0\)), Alternative (\(\theta\in H_A\), mit \(H_0\cap H_A=\varnothing\)), Teststatistik, Test, Entscheidungsregel."
Was zeigt das Mensa-Beispiel bezüglich der Wahl von \(H_0\) und \(H_A\) durch unterschiedliche Interessengruppen?,"Beide Gruppen (Mensabetreiber, Studierendenvertreter) wählen dieselbe Nullhypothese \(H_0:\theta=\theta_0\), aber unterschiedliche, jeweils zu ihrem Interesse passende einseitige Alternativen (\(\theta<\theta_0\) bzw \(\theta>\theta_0\))."
Wie lautet die Neyman-Pearson-Formulierung eines Testproblems?,"Gegeben ein statistisches Modell \(\{P_\theta:\theta\in\Theta\}\) und \(H_0,H_A\subseteq\Theta\) mit \(H_0\cap H_A=\varnothing\): Hypothese \(\theta\in H_0\), Alternative \(\theta\in H_A\). Das Entscheidungsproblem ""\(H_0\) gegen \(H_A\)"" heißt Testproblem, \(H_0\) heißt Nullhypothese."
Müssen \(H_0\) und \(H_A\) zusammen den gesamten Parameterraum \(\Theta\) abdecken?,"Nein, es wird nur \(H_0\cap H_A=\varnothing\) gefordert; \(H_0\cup H_A=\Theta\) ist nicht notwendig."
"Wann heißt eine Hypothese (bzw Alternative) einfach, wann zusammengesetzt?","Ist \(H_0\) (bzw \(H_A\)) einelementig, heißt sie einfach; andernfalls zusammengesetzt."
"Wonach richtet sich die Wahl der Nullhypothese, und was bedeutet ihre Ablehnung?","Die Nullhypothese wird konservativ gewählt - i.\,d.\,R als das Gegenteil des vermuteten Zusammenhangs, den man belegen möchte. Wird \(H_0\) im Test abgelehnt, gilt der vermutete Zusammenhang als statistisch signifikant."
"Wie ist eine Teststatistik definiert, und nach welchem Kriterium wählt man sie?","Eine Teststatistik ist eine Abbildung \(T:\mathcal X\to\mathbb R\). Man wählt sie so, dass große Werte \(T(x)\) dafür sprechen, dass eine unter \(H_0\) atypische Stichprobe vorliegt."
"Warum kann dieselbe naheliegende Größe (z.\,B \(\bar X\)) je nach Richtung der Alternative eine geeignete oder ungeeignete Teststatistik sein?","Ob große Werte einer Größe für die Alternative sprechen, hängt von der Richtung ab, in die die Alternative vom Nullhypothesen-Wert abweicht. Bei einer Alternative ""kleiner als \(\theta_0\)"" ist z.\,B nicht \(\bar X\), sondern \(1-\bar X\) die geeignete Teststatistik; bei einer Alternative ""größer als \(\theta_0\)"" ist dagegen \(\bar X\) direkt geeignet."
Wie ist der \(p\)-Wert einer Stichprobe \(x\) definiert?,\(p(x) = \sup_{\theta\in H_0} P_\theta\big(T(X)\ge T(x)\big)\).
Was drückt der \(p\)-Wert intuitiv aus?,"Wie wahrscheinlich es unter der Nullhypothese maximal ist, eine mindestens so extreme Teststatistik zu beobachten wie die tatsächlich gemessene. Ein kleiner \(p\)-Wert spricht für die Alternative."
Wie ist ein (statistischer) Test formal definiert?,"Eine Abbildung \(\varphi:\mathcal X\to\{0,1\}\). \(\varphi(x)=1\) bedeutet: \(H_0\) wird verworfen; \(\varphi(x)=0\) bedeutet: \(H_0\) wird nicht verworfen."
Wie ist das Signifikanzniveau eines Tests definiert?,"\(\sup_{\theta\in H_0} P_\theta(\varphi(X)=1)\) - die maximale Wahrscheinlichkeit, dass der Test unter \(H_0\) verwirft."
Warum gibt gute Statistik den \(p\)-Wert an statt nur das Testergebnis zu einem festen Niveau?,"Der \(p\)-Wert enthält mehr Information als das bloße Signifikanzniveau - er zeigt, wie deutlich (bzw knapp) das Ergebnis ausfällt, nicht nur ob verworfen wird oder nicht."
Was ist der Verwerfungsbereich \(C_\alpha\) eines Tests?,"\(C_\alpha=\{x\in\mathcal X:\varphi(x)=1\}\) - die Menge aller Stichproben, für die der Test die Nullhypothese verwirft. Statt \(\varphi\) auszuwerten, kann man äquivalent prüfen, ob \(x\in C_\alpha\) liegt."
Was ist ein Fehler 1 Art?,Eine gültige Hypothese wird verworfen: \(\theta\in H_0\) und \(\varphi(X)=1\).
Was ist ein Fehler 2 Art?,Eine ungültige Hypothese wird nicht verworfen: \(\theta\in H_A\) und \(\varphi(X)=0\).
Wodurch ist die Wahrscheinlichkeit für einen Fehler 1 Art beschränkt?,Durch das Signifikanzniveau des Tests.
Was ist das Ziel bei der Konstruktion eines Tests zu vorgegebenem Signifikanzniveau \(\alpha\)?,"Einen Test zu finden, dessen Signifikanzniveau den vorgegebenen Wert \(\alpha\) nicht überschreitet - idealerweise, ohne dass die Wahrscheinlichkeit für einen Fehler 2 Art zu groß wird."
Welcher Zielkonflikt (Trade-off) besteht zwischen Fehler 1 und Fehler 2 Art?,"Die Wahrscheinlichkeit für einen Fehler 2 Art lässt sich reduzieren, aber nur um den Preis, dass die Wahrscheinlichkeit für einen Fehler 1 Art (bzw das Signifikanzniveau) größer wird."
Welche sieben Schritte umfasst das allgemeine Vorgehen bei einem Hypothesentest?,"(1) statistisches Modell/Verteilungsannahme, (2) Hypothese und Alternative formulieren, (3) Signifikanzniveau wählen, (4) Teststatistik konstruieren, (5) Entscheidungsregel festlegen, (6) Test auf die Stichprobe anwenden, (7) Schlussfolgerung und \(p\)-Wert angeben."
"Warum bedeutet ""\(H_0\) nicht verwerfen"" keine Aussage über die Alternative?","Weil eine Entscheidung FÜR eine Hypothese grundsätzlich weniger sicher wäre als eine Entscheidung GEGEN eine Hypothese. ""Nicht verwerfen"" heißt nur, dass die Stichprobe nicht ausreicht, um \(H_0\) mit hinreichender Sicherheit abzulehnen - nicht, dass \(H_0\) dadurch bewiesen wäre."
Wie motiviert man die Konstruktion einer Teststatistik für einen Test über eine Erfolgswahrscheinlichkeit \(\theta\) mit Hilfe von Gesetz der großen Zahlen und zentralem Grenzwertsatz?,Unter \(H_0\) sollte \(\left|\frac1n S_n-\theta_0\right|\) klein sein (Gesetz der großen Zahlen: \(\frac1n S_n\to\theta_0\)). Zusätzlich ist \(\sqrt{\frac{n}{\theta_0(1-\theta_0)}}\left(\frac1n S_n-\theta_0\right)\) für großes \(n\) näherungsweise standardnormalverteilt (zentraler Grenzwertsatz). Man wählt den Betrag dieser standardisierten Größe als Teststatistik.
"Welcher Testtyp wird durchgeführt, wenn \(H_0:\theta=\theta_0\) gegen \(H_A:\theta\ne\theta_0\) getestet wird (wie im Geburtenstatistik-Beispiel)?",Ein zweiseitiger Gauß-Test.
"Woran erkennt man, ob ein Test einseitig oder zweiseitig ist?",Bei einer Alternative der Form \(\theta<\theta_0\) oder \(\theta>\theta_0\) (wie im Mensa-Beispiel) ist der Test einseitig; bei einer Alternative \(\theta\ne\theta_0\) (wie im Geburten-Beispiel) ist er zweiseitig.
Unter welcher Voraussetzung ist der einfache Gauß-Test anwendbar?,"\(X_1,\dots,X_n\) normalverteilt mit unter \(H_0\) bekannter Varianz \(\sigma^2\)."
Wie lässt sich der Gauß-Test auch bei Bernoulli-verteilten Stichprobenvariablen anwenden?,Näherungsweise für großes \(n\): Unter \(H_0\) kennt man \(\theta_0\) und damit auch die Varianz \(\sigma^2=\theta_0(1-\theta_0)\).
Wie lautet die Teststatistik des einfachen Gauß-Tests?,"\(T(x) = \sqrt n\,\dfrac{\bar x-\mu_0}{\sigma}\)."
"Welche Verteilung hat \(T(X)\) beim Gauß-Test, je nachdem ob die Stichprobenvariablen normal- oder Bernoulli-verteilt sind?",Bei normalverteilten Stichprobenvariablen ist \(T(X)\) exakt der Betrag einer standardnormalverteilten Zufallsvariable; bei Bernoulli-verteilten Stichprobenvariablen nur näherungsweise (für großes \(n\)).
Wie lautet die Entscheidungsregel des zweiseitigen Gauß-Tests zum Signifikanzniveau \(\alpha\)?,"\(\varphi(x)=1\) falls \(T(x)\ge z_{1-\alpha/2}\), sonst \(0\). Verwerfungsbereich: \(|T|>z_{1-\alpha/2}\)."
Wie lauten die Entscheidungsregeln der beiden einseitigen Varianten des Gauß-Tests?,Für \(H_0:\theta\le\theta_0\) gegen \(H_A:\theta>\theta_0\): verwerfe falls \(T(x)\ge z_{1-\alpha}\). Für \(H_0:\theta\ge\theta_0\) gegen \(H_A:\theta<\theta_0\): verwerfe falls \(T(x)\le -z_{1-\alpha}\).
Unter welcher Voraussetzung ist der einfache \(t\)-Test (statt des Gauß-Tests) anwendbar?,"\(X_1,\dots,X_n\) normalverteilt mit unbekannter Varianz \(\sigma^2\)."
Wie unterscheidet sich das Vorgehen beim \(t\)-Test von dem beim Gauß-Test?,"Es ist analog, nur wird die unbekannte Varianz in der Teststatistik durch ihren Schätzer \(\hat\sigma^2=\frac{1}{n-1}\sum(x_i-\bar x)^2\) ersetzt, und man arbeitet mit den Quantilen der \(t\)-Verteilung statt der Standardnormalverteilung."
"Wie lautet die Teststatistik des einfachen \(t\)-Tests, und welcher Verteilung folgt sie unter \(H_0\)?","\(T(x)=\sqrt n\,\dfrac{\bar x-\mu_0}{\hat\sigma}\); \(T(X)\) ist der Betrag einer \(t\)-verteilten Zufallsvariable mit \(n-1\) Freiheitsgraden."
Wie unterscheiden sich die Entscheidungsregeln des \(t\)-Tests von denen des Gauß-Tests?,"Man ersetzt \(\sigma\) durch \(\hat\sigma\) und die Normalquantile \(z_{1-\alpha}\) bzw \(z_{1-\alpha/2}\) durch die entsprechenden \(t\)-Quantile \(t_{n-1,1-\alpha}\) bzw \(t_{n-1,1-\alpha/2}\) mit \(n-1\) Freiheitsgraden; die Struktur der Entscheidungsregeln bleibt sonst gleich."
In welcher Situation kommen Zwei-Stichprobentests mit dem Differenzen-Trick zum Einsatz?,"Wenn man zwei gepaarte Messungen \((X_i,Y_i)\) an derselben Versuchseinheit hat (z.\,B zwei Messungen an derselben Person) und wissen möchte, ob sich die beiden Messgrößen systematisch unterscheiden. Dabei dürfen \(X_i\) und \(Y_i\) selbst abhängig sein - nur die Paare \((X_i,Y_i)\) müssen über die Einheiten hinweg unabhängig sein."
"Welcher Trick erlaubt es, den gepaarten Zwei-Stichprobentest auf einen gewöhnlichen Einstichproben-Test zurückzuführen?","Man bildet die Differenzen \(D_i:=X_i-Y_i\). Da die Paare \((X_i,Y_i)\) über \(i\) unabhängig sind, sind auch \(D_1,\dots,D_n\) unabhängig (u.i.v unter der Annahme gemeinsamer Normalverteilung mit EW und Varianz) - man kann also den gewöhnlichen \(t\)-Test auf die \(D_i\) anwenden, mit Nullhypothese \(\mu_D=0\)."
