"Wieso reicht es oft aus, nur die Verteilung einer Zufallsvariablen zu kennen?","Weil alle Wahrscheinlichkeitsaussagen über $X$ (z.B.\ $P(X\in A)$) nur von der Verteilung $P_X$ abhängen, nicht vom konkreten Wahrscheinlichkeitsraum. Haben $X$ und $Y$ dieselbe Verteilung, so gilt $P(X\in A) = P_X(A) = P_Y(A) = P(Y\in A)$ für jedes $A$."
"Wie ist der Erwartungswert einer Zufallsvariablen $X$ mit abzählbarem Bildbereich definiert, und wann existiert er?","$E[X] = \sum_{x\in X(\Omega)} x\cdot P(X=x)$, sofern die Reihe absolut konvergiert, d.h.\ $\sum_{x\in X(\Omega)} |x|\cdot P(X=x) < \infty$. Nur dann sprechen wir von der Existenz des Erwartungswerts."
"Wie ist der Erwartungswert einer Zufallsvariablen $X$ mit Dichte $f$ definiert, und wann existiert er?","$E[X] = \int_{-\infty}^{\infty} x\,f(x)\,dx$, sofern $\int_{-\infty}^{\infty} |x|\,f(x)\,dx < \infty$. Nur dann existiert der Erwartungswert."
"Warum ist bei einer geraden Dichtefunktion $f$ Vorsicht geboten, wenn man den Erwartungswert über symmetrische Integrationsgrenzen $\pm N$ berechnet?","Für gerade Dichten gilt $\int_{-N}^{N} x\,f(x)\,dx = 0$ für jedes $N$ -- auch dann, wenn der Erwartungswert gar nicht existiert (weil das uneigentliche Integral nicht absolut konvergiert). Symmetrische Grenzen können Existenz also vortäuschen, wo keine vorliegt."
"Was garantiert die absolute Konvergenz der den Erwartungswert definierenden Reihe, und welche alternative Summationsform folgt daraus?","Absolute Konvergenz erlaubt beliebiges Umsortieren der Summanden. Deshalb gilt $\sum_{x\in X(\Omega)} x\cdot P(X=x) = \sum_{\omega\in\Omega} X(\omega)\cdot P(\{\omega\})$, sofern eine der beiden Reihen absolut konvergiert -- man kann also wahlweise über die Werte von $X$ oder über die Elementarereignisse summieren."
In welchen zwei Spezialfällen ist die Existenz des Erwartungswerts automatisch gesichert bzw.\ einfacher zu prüfen?,"(1) Ist $\Omega$ oder $X(\Omega)$ endlich, existiert der Erwartungswert automatisch. (2) Nimmt $X$ nur nichtnegative Werte an ($X\ge 0$), fallen die Beträge weg: $\sum |x|P(X=x) = \sum x\,P(X=x)$ (analog fürs Integral) -- man kann also direkt mit der Berechnung beginnen, ohne getrennt Konvergenz nachzuweisen."
Wie lautet der Satz über die Linearität des Erwartungswerts?,"Existieren $E[X]$ und $E[Y]$, so existiert für $a,b\in\mathbb{R}$ auch $E[aX+bY]$, und es gilt $E[aX+bY] = a\,E[X] + b\,E[Y]$. Als Spezialfälle folgen $E[aX]=a\,E[X]$ und $E[X+Y]=E[X]+E[Y]$."
Welchen praktischen Vorteil bietet die Linearität des Erwartungswerts bei Summen von Zufallsvariablen?,"Statt $E[X]$ für $X=X_1+\dots+X_n$ direkt über die (oft komplizierte) gemeinsame Verteilung zu berechnen, genügt es, die meist viel einfacheren Erwartungswerte der einzelnen $X_i$ zu bestimmen und zu addieren: $E[X]=\sum_i E[X_i]$. Das funktioniert auch OHNE Unabhängigkeit der $X_i$."
Was versteht man unter einer aus $X$ zusammengesetzten Zufallsvariablen $Y=f(X)$?,"Ist $X:\Omega\to\mathbb{R}$ eine Zufallsvariable und $f:\mathbb{R}\to\mathbb{R}$ eine (messbare) Funktion, so ist $Y(\omega):=f(X(\omega))=(f\circ X)(\omega)$ wieder eine Zufallsvariable."
"Wie berechnet man $E[f(X)]$, ohne die Verteilung von $Y=f(X)$ explizit zu bestimmen?","Sofern $E[Y]$ existiert, gilt $E[f(X)] = \sum_{x\in X(\Omega)} f(x)\cdot P(X=x)$ (diskreter Fall) bzw.\ $E[f(X)] = \int_{-\infty}^{\infty} f(x)\,f_X(x)\,dx$ (falls $X$ die Dichte $f_X$ hat). Man muss die Verteilung von $Y$ also nicht erst bestimmen."
"Gilt allgemein $E[XY]=E[X]\cdot E[Y]$ für beliebige Zufallsvariablen $X,Y$?","Nein, im Allgemeinen nicht. Schon im einfachen Fall $Y=X$ kann $E[XY]\neq E[X]\cdot E[Y]$ gelten. Multiplikativität des Erwartungswerts benötigt eine Zusatzvoraussetzung -- siehe Satz (P)."
Unter welcher Voraussetzung gilt $E[XY]=E[X]\cdot E[Y]$? (Satz (P)),"Sind $X,Y$ unabhängige Zufallsvariablen mit existierendem Erwartungswert, so existiert auch $E[XY]$, und es gilt $E[XY]=E[X]\cdot E[Y]$."
"Wie kann man Satz (P) nutzen, um zu zeigen, dass zwei Zufallsvariablen NICHT unabhängig sind?","Per Kontraposition: Gilt $E[XY]\neq E[X]\cdot E[Y]$ (zerfällt der Erwartungswert des Produkts also nicht in das Produkt der einzelnen Erwartungswerte), so können $X$ und $Y$ nicht unabhängig sein."
