"Wie ist die Alignment-Distanz (Editierdistanz) zweier Sequenzen \(x,y\in\Sigma^*\) definiert?","\(d(x,y) := \min\{cost(A) : A\in\mathcal A^* \text{ ist ein Alignment von } x \text{ und } y\}\) - die minimalen Kosten über alle möglichen Alignments."
"Wie berechnen sich die Kosten eines Alignments \(A=(A_1,\dots,A_n)\)?",\(cost(A) = \sum_{i=1}^n cost(A_i)\) - die Summe der Kosten aller Spalten des Alignments.
Wie sind im einfachsten (Unit-Cost-)Fall die Kosten einer einzelnen Alignment-Spalte \(A_i=\binom{a_i}{b_i}\) definiert?,"\(0\) bei einer Match-Spalte (\(a_i=b_i\)), und \(1\) bei einer Mismatch-Spalte (\(a_i\neq b_i\)) oder einer Indel-Spalte (\(a_i=-\) oder \(b_i=-\))."
"Mit welcher Laufzeit lässt sich das Alignment-Problem (Editierdistanz + optimales Alignment) für zwei Strings der Längen \(m,n\) lösen?","In \(O(mn)\) Zeit mittels eines einfachen, eleganten dynamischen Programmierungs-Algorithmus."
"In welcher Situation ist die Editierdistanz kein gutes Ähnlichkeitsmaß, obwohl die Texte intuitiv ähnlich sind?","Wenn ein großer Textblock verschoben wird (z.\,B zwei Absätze werden vertauscht) - die Editierdistanz kann dann hoch sein, obwohl die Texte aus anderer Sicht noch sehr ähnlich sind, da sie stark auf die korrekte Reihenfolge der Zeichen achtet."
Was ist ein \(q\)-Gramm?,Ein String der Länge \(q\) (für ein gegebenes \(q\in\mathbb N\)). Betrachtet werden stets überlappende \(q\)-Gramme.
"Wie ist die Occurrence Count (Vorkommenshäufigkeit) \(Occ(x,z)\) eines \(q\)-Gramms \(z\) in einem String \(x\in\Sigma^m\) definiert?","\(Occ(x,z) := |\{i\in[1,m-q+1] : x[i\dots i+q-1]=z\}|\) - die Anzahl der Startpositionen, an denen \(z\) als Teilwort in \(x\) vorkommt."
Was ist das \(q\)-Gramm-Profil \(p_q(x)\) eines Strings \(x\)?,"Ein \(\sigma^q\)-elementiger Vektor \(p_q(x)=(p_q(x)_z)_{z\in\Sigma^q}\), indiziert durch alle möglichen \(q\)-Gramme, mit \(p_q(x)_z := Occ(x,z)\) - die geordnete Liste, wie oft jedes mögliche \(q\)-Gramm in \(x\) vorkommt."
"Wie ist die \(q\)-Gramm-Distanz \(d_q(x,y)\) zweier Strings \(x\in\Sigma^m\), \(y\in\Sigma^n\) definiert?","\(d_q(x,y) := \sum_{z\in\Sigma^q} |p_q(x)_z - p_q(y)_z|\) für \(1\le q\le\min\{m,n\}\) - die Summe der absoluten Differenzen der \(q\)-Gramm-Häufigkeiten."
Wie lässt sich die \(q\)-Gramm-Distanz umgangssprachlich beschreiben?,"Man zählt für jedes mögliche Länge-\(q\)-Teilwort, wie oft es in \(x\) bzw in \(y\) vorkommt, bildet jeweils die Differenz dieser Häufigkeiten, und summiert die Beträge dieser Differenzen über alle möglichen \(q\)-Gramme auf."
