Was sind beispiele für DNA-abhängige DNA-Polymerasen und wo werden sie eingesetzt?,"Replikation, Taq-Polymerase"
Was sind beispiele für DNA-abhängige RNA-Polymerasen und wo werden sie eingesetzt?,"Transkription, Primase bei Replikation"
Wo werden RNA-abhängige DNA-Polymerasen eingesetzt?,reverse Transkription (RNA-Viren)
Wo werden RNA-abhängige RNA-Polymerasen eingesetzt?,"post-transcriptional gene silencing (PTGS), ""silencing"""
Worin unterscheidet sich die zeitliche Kopplung von Transkription und Translation bei Pro- und Eukaryoten?,"Bei Prokaryoten läuft die Translation (fast) gleichzeitig mit der Transkription ab (gekoppelt, am selben Ort). Bei Eukaryoten sind beide Prozesse räumlich und zeitlich getrennt: Transkription im Zellkern, Translation im Cytoplasma."
Warum brauchen RNA-Polymerasen im Gegensatz zu DNA-Polymerasen keinen Primer?,RNA-Polymerasen können die Synthese de novo starten -- sie initiieren die RNA-Kette ohne vorgelegtes freies 3'-OH-Ende. DNA-Polymerasen dagegen können nur an ein bestehendes 3'-OH-Ende (Primer) anknüpfen.
Welcher Strang der DNA-Doppelhelix dient als Vorlage für die Transkription?,"Je nach Gen kann mal der eine, mal der andere Strang als Matrize (Vorlage) verwendet werden -- es ist nicht immer derselbe Strang. Katalysiert wird die Synthese von einer DNA-abhängigen RNA-Polymerase."
Wie lautet die (vereinfachte) Reaktionsgleichung der Transkription?,"DNA + n NTP --(RNA-Polymerase)--> DNA + RNA + n PP. Die DNA bleibt erhalten (dient nur als Matrize), pro eingebautem Nukleotid wird ein Pyrophosphat (PP) freigesetzt."
"Wie unterscheidet man RNA-Klassen grob, und wie verändert sich der Anteil nicht-kodierender RNA (ncRNA) mit der Komplexität?",Man unterscheidet protein-kodierende (coding) RNA und nicht-kodierende RNA (ncRNA). Der Anteil der ncRNA steigt mit zunehmender Komplexität eines Organismus. Es werden laufend neue RNA-Klassen entdeckt (benannt nach Funktion oder Lokalisation).
"Welche RNA-Klassen synthetisieren RNA-Pol I, II und III jeweils?","Pol I: die großen rRNAs (28S, 18S, 5.8S). Pol II: hnRNA/Primärtranskripte, mRNA, viele miRNAs, einige snRNAs. Pol III: tRNA, 5S-rRNA, einige snRNAs (z.B. U6)."
"Von welcher Polymerase werden snRNA, miRNA und siRNA transkribiert?","snRNA: teils Pol II, teils Pol III (z.B. U6 durch Pol III). miRNA (20--22 nt): Pol II. siRNA (24 nt, v.a. Pflanzen): Pol IV und Pol V, unter Beteiligung einer RdRP."
Wie ist eine eukaryotische RNA-Polymerase grob aufgebaut?,"Als großer Multiprotein-Komplex aus mehreren Untereinheiten (bis ca. 12) mit konserviertem katalytischem Kern. Besonderheit der Pol II: eine C-terminale Domäne (CTD) an der größten Untereinheit, die während der Initiation/Elongation phosphoryliert wird."
"Wo werden die eukaryotischen Ribosomen zusammengebaut, und wie entsteht der Nukleolus?","Die Ribosomen werden im Nukleolus zusammengebaut. Der Nukleolus geht vom Nukleolus-Organisator aus, der aus der NOR (nucleolus organizer region) entsteht."
"Was ist mit der ""sichtbaren Genexpression"" der rDNA gemeint?","Bei der rDNA kann man die Genexpression direkt ""sehen"" (z.B. als ""Weihnachtsbaum""-Struktur im Elektronenmikroskop), weil das Genprodukt selbst RNA (rRNA) ist und nicht erst in ein Protein übersetzt werden muss."
Was muss man über die Enden der eukaryotischen mRNA wissen (Vergleich zu prokaryotischer)?,"Beide Enden sind modifiziert: am 5'-Ende eine Cap-Struktur (m7Gppp), am 3'-Ende ein Poly(A)-Schwanz. Beide schützen die mRNA vor Abbau und fördern die Translation. Prokaryotische mRNA besitzt diese Modifikationen nicht."
Nenne die funktionellen Elemente der eukaryotischen mRNA (5'->3') und ihre Funktion,"5'-Cap (m7G/GTP): Schutz vor Abbau, Bindung des Ribosoms. Leader (5'-UTR): Ribosomenbindung. AUG: Startcodon (Translationsbeginn mit Methionin). ORF: kodiert die Aminosäure-Abfolge. Stopcodon (UGA/UAA/UAG): keine beladene tRNA vorhanden. Trailer (3'-UTR) mit AAUAAA: Signal für Schnitt und Polyadenylierung. Poly(A)-Schwanz: Stabilisierung der mRNA."
"Was muss man über den Poly(A)-Schwanz wissen (Länge, Herkunft, Enzym, Bindeprotein, Funktion)?","Etwa 200 nt lang und NICHT im Genom kodiert. Wird nach dem Abschneiden des Transkripts von der Poly(A)-Polymerase angehängt und von PABP (poly(A)-binding protein) gebunden. Er stabilisiert die mRNA und erleichtert (mit PABP) die Translation. Bei stabilen, effizient translatierten mRNAs kann er auch kurz sein ( 30 Adenosinreste)."
Was ist Deadenylierung und welche Folge hat sie?,"Die Entfernung bzw. Verkürzung des Poly(A)-Schwanzes. Dadurch löst sich PABP ab, was den Abbau der mRNA einleitet."
