Provirus,"In das Wirtsgenom integrierte doppelsträngige DNA-Kopie eines Retrovirus, flankiert von zwei LTRs. Sie wird wie ein zelluläres Gen von der Wirts-RNA-Polymerase transkribiert"
Polypyrimidin-Folge,Pyrimidin-reiche Sequenz zwischen Verzweigungsstelle und 3'-Spleißstelle. Bindestelle für U2AF2 und wichtig für die Erkennung der 3'-Spleißstelle.
Proto-Onkogen,todo
Wachstumsfaktor,todo
Verzweigungsstelle (Branchpoint),"Konserviertes Adenosin innerhalb des Introns (Konsensus u.\,a. UACUAAC), dessen 2'-OH-Gruppe im ersten Schritt des Spleißens das 5'-Spleißende angreift und so die Lariat-Struktur ausbildet."
Vergleich von verwandten Genomen,"Wissenschaftsgebiet, das Ähnlichkeiten und Unterschiede zwischen DNA-Sequenzen, Genen, der Genreihenfolge, regulatorischen Sequenzen und anderen genomischen Merkmalen untersucht, um festzustellen, wie Organismen miteinander verwandt sind."
Transesterifizierung,"Umesterungsreaktion, die dem nukleären Spleißen zugrunde liegt. Zwei aufeinanderfolgende Transesterifizierungen (Angriff des Verzweigungs-2'-OH, dann des Exon-1-3'-OH) trennen das Intron heraus und verknüpfen die Exons."
tRNA-Primer,"Zelluläre tRNA, die sich an die Primerbindestelle der retroviralen RNA anlagert und der Reversen Transkriptase das freie 3\('\)-OH-Ende für den Start der Minusstrang-Synthese liefert. Sie wird vor der Plusstrang-Synthese wieder entfernt"
Translokation,todo
Trans-Spleißen,Verknüpfung von Exons aus zwei getrennten RNA-Molekülen (im Gegensatz zum normalen cis-Spleißen). Prominent bei Trypanosomen (Spliced-Leader-/Mini-Exon-Anhängung).
T-DNA,todo
Ti-Plasmid,todo
Gametophyt,"Haploide (1n) Generation im Entwicklungszyklus der Pflanzen. Bei Angiospermen stark reduziert: der männliche Gametophyt ist das Pollenkorn (generative Zelle + Pollenschlauchzelle), der weibliche Gametophyt der Embryosack (Eizelle, 2 Synergiden, 2 Polkerne, 3 Antipodenzellen)"
Telophase,"die Chromatiden erreichen die entgegen- gesetzten Pole, Rückbildung der Kernhülle, Dekondensierung der Chromosomen, Nucleoli wieder sichtbar"
Spacer,"Nicht-kodierende Sequenzabschnitte in Transkriptionseinheiten. Man unterscheidet transkribierte Spacer (werden mit-transkribiert und später entfernt) und nicht-transkribierte Spacer (enthalten z.\,B. Spacer-Promotoren und Enhancer), besonders relevant bei der rDNA/rRNA."
Sporophyt,Diploide (2n) vielzellige Generation; entsteht aus der Zygote und bildet durch Meiose Sporen. Bei Blptenpflanzen die dominante Generation (''die Pflanze'')
Somatische Segregation,"Zufaellige Aufteilung unterschiedlicher Organellengenome auf Tochterzellen bei der Zellteilung (relevant bei Heteroplasmie, v.a. in Pflanzen), sodass verschiedene Gewebe unterschiedliche Organellengenotypen tragen koennen."
Selbst-Spleißen (self-splicing),"Spleißen ohne Spleißosom, bei dem das Intron als Ribozym selbst die Reaktion katalysiert. Vorkommen u.\,a in Tetrahymena, Mitochondrien, Chloroplasten, Schleimpilzen, Bacteriophage T4."
replikative Transposition,"Transposition, bei der der Donor unverändert bleibt und der Rezipient eine Kopie des Transposons erhält"
