Wie ist eine (E-wertige) Zufallsvariable definiert?,"Für einen Wahrscheinlichkeitsraum \((\Omega,P)\) und eine Menge \(E\neq\emptyset\) ist eine \(E\)-wertige Zufallsvariable eine messbare Abbildung \(X:\Omega\to E\)."
"Warum ist die Bezeichnung ""Zufallsvariable"" etwas irreführend?","Eine Zufallsvariable ist keine Variable im algebraischen Sinn, sondern eine Zuordnungsvorschrift: Sie ordnet jedem möglichen Ergebnis eines Zufallsexperiments eine Größe zu."
"Was vereinfacht sich an der Definition einer Zufallsvariablen, wenn der Ereignisraum \(\Omega\) abzählbar ist?",Dann ist eine Zufallsvariable einfach eine beliebige Abbildung auf \(\Omega\) - Messbarkeitsfragen (die bei überabzählbarem \(\Omega\subseteq\mathbb R^d\) eine Rolle spielen) entfallen.
Was ist der Unterschied zwischen Wertebereich und Bildbereich einer Zufallsvariablen \(X:\Omega\to E\)?,\(E\) heißt der Wertebereich (die Zielmenge). \(X(\Omega)=\{X(\omega):\omega\in\Omega\}\) heißt der Bildbereich (die Menge der tatsächlich angenommenen Werte).
In welchem Verhältnis stehen Bildbereich und Wertebereich einer Zufallsvariablen zueinander?,"Es gilt stets \(X(\Omega)\subseteq E\); der Bildbereich ist die kleinstmögliche Menge, die alle von \(X\) tatsächlich angenommenen Werte enthält - unabhängig davon, wie groß man den Wertebereich \(E\) wählt."
Wie ist die Verteilung \(P_X\) einer \(E\)-wertigen Zufallsvariablen \(X\) definiert?,\(P_X(B) := P(\{\omega:X(\omega)\in B\}) = P(X\in B)\) für alle messbaren \(B\subseteq E\). \(P_X\) ist ein Wahrscheinlichkeitsmaß auf \(E\).
Was beschreibt die Verteilung einer Zufallsvariablen anschaulich?,"Wie die Werte von \(X\) verteilt sind, also wie wahrscheinlich verschiedene Ergebnisse von \(X\) sind."
"Unter welcher Voraussetzung ist \(P_X\) nachweislich ein Wahrscheinlichkeitsmaß, und wie lautet die Kernidee des Beweises?","Ist \(\Omega\) abzählbar und \(P\) durch eine Wahrscheinlichkeitsfunktion \(p\) gegeben, so ist \(P_X\) ein Wahrscheinlichkeitsmaß. Kernidee: \(p_X(e)=P(X=e)=\sum_{\omega:X(\omega)=e} p(\omega) \ge 0\), und die Summe aller \(p_X(e)\) über \(e\in E\) ergibt wieder \(\sum_\omega p(\omega)=1\), da jedes \(\omega\) genau einem Wert \(X(\omega)\) zugeordnet wird."
"Was besagt das Korollar über den ""induzierten Wahrscheinlichkeitsraum""?","\((E,P_X)\) ist selbst ein Wahrscheinlichkeitsraum - man kann also von \(\Omega\) zu einem neuen, oft kleineren bzw einfacheren Wahrscheinlichkeitsraum wechseln, der nur noch die durch \(X\) ausgedrückten Ereignisse kennt."
"Existiert zu jedem beliebigen Wahrscheinlichkeitsmaß eine Zufallsvariable, die genau dieses Maß als Verteilung hat?","Ja: Zu jedem Wahrscheinlichkeitsraum \((\tilde\Omega,\tilde P)\) existieren ein Wahrscheinlichkeitsraum und eine Zufallsvariable \(X\) darauf, deren Verteilung genau \(\tilde P\) ist."
Wie lautet die (einfache) Beweisidee für die Existenz einer Zufallsvariablen mit vorgegebener Verteilung?,"Man wählt \(\Omega:=\tilde\Omega\), \(P:=\tilde P\) und \(X\) als die Identität, \(X(\omega)=\omega\). Dann gilt für jede messbare Menge \(B\): \(\{\omega:X(\omega)\in B\}=B\), also \(P_X(B)=P(B)=\tilde P(B)\)."
Wie ist die Verteilungsfunktion \(F_X\) einer reellwertigen Zufallsvariablen \(X\) definiert?,"\(F_X(x) = P(X\le x) = P_X((-\infty,x])\) für alle \(x\in\mathbb R\)."
Welche zwei Konzepte sollte man bei einer Zufallsvariablen nicht verwechseln?,"Die Wahrscheinlichkeitsfunktion \(p_X\) (definiert für einzelne Werte, nur bei abzählbarem Bildbereich sinnvoll) und die Verteilungsfunktion \(F_X\) (definiert als kumulative Wahrscheinlichkeit \(P(X\le x)\), für jede reellwertige ZV) sind verschiedene Konzepte."
Welche drei grundlegenden Eigenschaften hat jede Verteilungsfunktion \(F_X\)?,"(1) \(F_X\) ist monoton wachsend, (2) \(F_X\) ist rechtsstetig, (3) \(\lim_{x\to-\infty}F_X(x)=0\) und \(\lim_{x\to\infty}F_X(x)=1\)."
"Welche Rechenregeln erlauben es, Wahrscheinlichkeiten von Intervallen mit Hilfe der Verteilungsfunktion auszudrücken?","\(P(a<X\le b)=F_X(b)-F_X(a)\), \(P(X\le b)=F_X(b)\), \(P(X>a)=1-F_X(a)\)."
Wie hängen die Sprunghöhen der Verteilungsfunktion einer Zufallsvariablen mit abzählbarem Bildbereich mit ihrer Wahrscheinlichkeitsfunktion zusammen?,"Nimmt \(X\) nur abzählbar viele Werte \(x_1,x_2,\dots\) an, so gilt \(p_X(x_i)=F_X(x_i)-F_X(x_{i-1})\) für \(i\ge2\) (und \(p_X(x_1)=F_X(x_1)\)) - die Sprunghöhen der Verteilungsfunktion entsprechen genau den Werten der Wahrscheinlichkeitsfunktion."
"Welche zusätzliche Eigenschaft hat die Verteilungsfunktion, wenn die Zufallsvariable nur abzählbar viele Werte annimmt?",\(F_X\) ist stückweise konstant.
Wann heißt eine reellwertige Zufallsvariable \(X\) absolutstetig mit Dichte \(f\)?,"Wenn eine Funktion \(f:\mathbb R\to[0,\infty)\) existiert mit \(F_X(x) = P(X\le x) = \int_{-\infty}^x f(u)\,du\) für alle \(x\in\mathbb R\)."
"Legt die definierende Gleichung einer Dichte das zugehörige Wahrscheinlichkeitsmaß \(P_X\) eindeutig fest, und funktioniert die Konstruktion auch umgekehrt?","Ja: Die Gleichung legt \(P_X\) eindeutig fest. Umgekehrt kann man zu jeder gegebenen Dichte \(f\) auch eine Zufallsvariable konstruieren, deren Verteilung genau die Dichte \(f\) hat."
"Wie lautet die Verteilungsfunktion einer auf \([a,b]\) uniform verteilten Zufallsvariablen?",\(F_X(x)=0\) für \(x<a\); \(F_X(x)=\dfrac{x-a}{b-a}\) für \(a\le x\le b\); \(F_X(x)=1\) für \(x>b\).
Wie lautet die Verteilungsfunktion einer exponentialverteilten Zufallsvariablen mit Parameter \(\alpha\)?,\(F_X(x)=0\) für \(x\le0\); \(F_X(x)=1-e^{-\alpha x}\) für \(x>0\).
"Welche Besonderheit gilt bei den Rechenregeln für die Verteilungsfunktion, wenn die Zufallsvariable eine Dichte hat?","Da \(P(X=a)=0\) für jedes einzelne \(a\) gilt, macht es keinen Unterschied, ob Intervallgrenzen ein- oder ausgeschlossen werden: \(P(a\le X<b)=P(a<X\le b)=P(a\le X\le b)=P(a<X<b)=F_X(b)-F_X(a)\), ebenso \(P(X\le b)=P(X<b)\) und \(P(X>a)=P(X\ge a)\)."
"Welche zwei zusätzlichen Eigenschaften hat die Verteilungsfunktion, wenn die Zufallsvariable eine Dichte besitzt?","(1) \(F_X\) ist eine stetige Funktion. (2) Ist die Dichte \(f\) zusätzlich stetig in einem Punkt \(a\), so gilt \(f(a)=F_X'(a)\)."
Wie ist die Indikatorfunktion (charakteristische Funktion) \(\chi_B\) einer Menge \(B\subseteq\Omega\) definiert?,"\(\chi_B(\omega)=1\) falls \(\omega\in B\), und \(\chi_B(\omega)=0\) falls \(\omega\notin B\)."
"Was versteht man unter der gemeinsamen Verteilung mehrerer Zufallsvariablen, und was unter einer Randverteilung?","Die Verteilung der \(n\)-dimensionalen Zufallsvariable \(X=(X_1,\dots,X_n)\) heißt gemeinsame Verteilung von \(X_1,\dots,X_n\). Umgekehrt heißt, ausgehend von einer gegebenen \(n\)-dimensionalen Zufallsvariable, die Verteilung von \(X_i\) die \(i\)-te Randverteilung."
Wie berechnet man die Wahrscheinlichkeitsfunktion einer einzelnen Randverteilung \(X_k\) aus der gemeinsamen Wahrscheinlichkeitsfunktion \(p_X\) im abzählbaren Fall?,"Durch ""Heraussummieren"" der übrigen Variablen: \(p_{X_k}(x) = \sum_{u_1}\cdots\sum_{u_{k-1}}\sum_{u_{k+1}}\cdots\sum_{u_n} p_X(u_1,\dots,u_{k-1},x,u_{k+1},\dots,u_n)\)."
"Wann darf man bei der Berechnung eines mehrdimensionalen Integrals (z.\,B eines Flächeninhalts oder einer Wahrscheinlichkeit) die Integrationsreihenfolge vertauschen?","Wenn der Integrand eine nichtnegative, messbare Funktion ist (z.\,B eine Indikatorfunktion oder eine Dichte) - dann liefert das Vertauschen der Integrationsreihenfolge stets dasselbe Ergebnis."
"Wann heißt eine Funktion \(f:\mathbb R^n\to[0,\infty)\) eine \(n\)-dimensionale Dichte?","Wenn \(f\) Riemann-integrierbar ist und \(\int_{-\infty}^\infty\cdots\int_{-\infty}^\infty f(x_1,\dots,x_n)\,dx_1\dots dx_n=1\) gilt (Normierungsbedingung)."
"Wann heißt eine \(n\)-dimensionale Dichte \(f\) die gemeinsame Dichte der Zufallsvariablen \(X_1,\dots,X_n\)?","Wenn \(P(X_1\le a_1,\dots,X_n\le a_n) = \int_{-\infty}^{a_n}\cdots\int_{-\infty}^{a_1} f(x_1,\dots,x_n)\,dx_1\dots dx_n\) für alle \(a_1,\dots,a_n\) gilt."
Wie ist die Dichte der uniformen Verteilung auf einer messbaren Menge \(C\subseteq\mathbb R^n\) mit endlichem Inhalt \(|C|\) definiert?,"\(f(x_1,\dots,x_n) = \dfrac{1}{|C|}\,\chi_C(x_1,\dots,x_n)\) - also konstant \(\frac{1}{|C|}\) auf \(C\) und \(0\) außerhalb."
"Wie berechnet man die Randdichte \(f_k\) der Zufallsvariablen \(X_k\) aus einer gemeinsamen Dichte \(f\) von \(X_1,\dots,X_n\)?","Durch ""Herausintegrieren"" der übrigen Variablen: \(f_k(x) = \int_{-\infty}^\infty\cdots\int_{-\infty}^\infty f(u_1,\dots,u_{k-1},x,u_{k+1},\dots,u_n)\,du_1\dots du_{k-1}\,du_{k+1}\dots du_n\)."
Welche Analogie besteht zwischen der Berechnung von Randverteilungen im diskreten Fall und im Fall mit Dichten?,"Im diskreten Fall erhält man die Randverteilung durch ""Heraussummieren"" der restlichen Variablen, im Fall mit Dichten durch ""Herausintegrieren"" der restlichen Variablen - Summation wird durch Integration ersetzt."
