Wie ist ein deterministischer endlicher Automat (DEA) als Tupel definiert?,"\(A=(\Phi,\Sigma,\delta,q_0,F)\) mit Zustandsmenge \(\Phi\), Alphabet \(\Sigma\), Übergangsfunktion \(\delta:\Phi\times\Sigma\to\Phi\), Startzustand \(q_0\), Finalzustandsmenge \(F\subseteq\Phi\)."
Wie ist ein nichtdeterministischer endlicher Automat (NEA) als Tupel definiert?,"\(A=(\Phi,\Sigma,\Delta,q_0,F)\) wie beim DEA, aber mit Übergangsrelation \(\Delta\subseteq\Phi\times(\Sigma\cup\{\eps\})\times\Phi\) (mehrere oder keine Folgezustände, ggf \(\eps\)-Kanten)."
Sind NEAs und DEAs gleich mächtig?,Ja. Zu jedem NEA gibt es einen äquivalenten DEA (Potenzmengenkonstruktion); beide erkennen genau die regulären Sprachen.
Was ist die Grundidee der Potenzmengenkonstruktion (NEA\(\to\)DEA)?,"DEA-Zustände sind Teilmengen der NEA-Zustände. Start \(=\{q_0\}\) (bzw dessen \(\eps\)-Hülle), \(\delta'(M,a)=\bigcup_{q\in M}\Delta(q,a)\), final sind alle \(M\) mit \(M\cap F\ne\emptyset\)."
Warum muss man bei der Potenzmengenkonstruktion den Zustand \(\emptyset\) mitführen?,\(\emptyset\) ist der Müllzustand; ohne ihn wäre der DEA nicht vollständig (nicht für jede Eingabe definiert).
Wie konstruiert man den Komplementautomaten - und unter welcher Voraussetzung?,Finalzustände vertauschen: \(F\to\Phi\setminus F\). Voraussetzung: ein VOLLSTÄNDIGER DEA (erst determinisieren und totalisieren); bei einem NEA liefert das Vertauschen nicht das Komplement.
Wie erhält man aus einem NEA \(A\) einen NEA für \(L(A)^*\) (Idee)?,"Neuen Startzustand \(q_s\) einführen, ihn final machen (für \(\eps\)), \(\eps\)-Kante \(q_s\to q_0\), und von jedem alten Finalzustand eine \(\eps\)-Kante zurück nach \(q_0\)."
"Wie erhält man aus NEAs \(A_1,A_2\) einen NEA für \(L(A_1)\cdot L(A_2)\) (Idee)?","Bei disjunkten Zustandsmengen: \(\eps\)-Kanten von jedem Finalzustand von \(A_1\) zum Startzustand von \(A_2\); Start \(=q_0^{(1)}\), Finalzustände \(=F_2\)."
"Wie erhält man aus NEAs \(A_1,A_2\) einen NEA für \(L(A_1)\cup L(A_2)\) (Idee)?",Neuen Startzustand \(q_s\) mit \(\eps\)-Kanten zu beiden alten Startzuständen; Finalzustände \(=F_1\cup F_2\) (Zustandsmengen disjunkt).
Wie konstruiert man aus einer rechtslinearen Grammatik einen NEA?,"Nichtterminale werden Zustände, Startsymbol wird Startzustand. \(A::=aB\Rightarrow\) Kante \(A\xrightarrow{a}B\); \(A::=a\Rightarrow\) Kante \(A\xrightarrow{a}f\) in neuen Finalzustand \(f\); \(A::=\eps\Rightarrow\) \(A\) wird final."
Ist jede rechts- oder linkslineare Grammatik eindeutig?,Nein. Auch reguläre Grammatiken können mehrdeutig sein (ein Wort mit mehreren Ableitungsbäumen).
Vergrößert das Zulassen nichtdeterministischer Übergänge die Klasse der endlichen Automaten?,Nein. NEAs erkennen dieselbe Klasse wie DEAs (die regulären Sprachen).
"Folgt aus „\(n\) Nichtterminale in einer regulären Grammatik"", dass jeder erkennende DEA \(\ge n\) Zustände hat?",Nein. Der minimale DEA kann deutlich kleiner sein als die Zahl der Nichtterminale.
"In wie vielen Schritten entscheidet ein DEA, ob \(w\in L(A)\)?","In genau \(|w|\) Schritten - pro Eingabezeichen ein Übergang, ohne Backtracking (linear)."
