Transposition,Einbau eines DNA-Segments an einen anderen Ort im Genom.
Transposon,Transposable Element - eine mobile Nukleinsäuresequenz (Mobiles genetisches Element) mit der Fähigkeit zur Transposition
Retrotransposon,"Ein Transposon, das über eine RNA-Form mobilisiert; das DNA-Element wird in RNA transkribiert und anschließend in DNA revers transkribiert, die an einer neuen Stelle im Genom inseriert wird. Es besitzt keine infektiöse (virale) Form."
Telomerase,"Das Ribonukleoprotein-Enzym, das am Telomer sich wiederholende Einheiten aus einem Strang bildet, indem es einzelne Basen an das 3′-Ende der DNA anfügt, gemäß der Vorgabe einer RNA-Sequenz in der RNA-Komponente des Enzyms. (Lewin)"
Replikon,"Replikationseinheit der Erbsubstanz, die einen Startpunkt der Replikation enthält und zur autonomen Replikation befähigt ist. (Allgemeine Genetik)"
Topoisomerase,"Ein Enzym, das die Anzahl der Kreuzungspunkte der beiden Stränge in einem geschlossenen DNA-Molekül verändert. Dazu spaltet es die DNA, führt die DNA durch den Bruch und verbindet die DNA wieder miteinander. (Lewin)"
essentielles Gen,Der ``Phänotyp'' einer Mutante mit einem Defekt in solchen Genen ist ``nicht lebensfähig'' (lethal). (Vorlesung 3)
redundantes Gen,Der Phänotyp einer Mutante mit einem Defekt in solchen Genen ist nicht unterscheidbar vom Wildtyp. (Vorlesung 3)
prozessierte Pseudogene,"Pseudogene, die durch reverse Transkription und Integration von mRNA-Transkripten entstehen."
nicht-prozessierte Pseudogene,"Pseudogene, die durch unvollständige Duplikation oder Mutation der zweiten Kopie funktioneller Gene entstehen."
Pseudogen,"Gene, die ihre Fähigkeit verloren haben, funktionsfähige Versionen der Polypeptide zu produzieren, für die sie ursprünglich kodierten. Die Gründe für ihre Inaktivität sind vielfältig: Die Defizite können bei der Transkription, der Translation oder bei beiden liegen. Sie können nicht funktionsfähig sein oder eine veränderte Funktion aufweisen, und die RNA-Produkte könnten regulatorische Funktionen erfüllen. (Lewin)"
Superfamilie,"Eine Gruppe von Genen, die alle durch eine vermutete Abstammung von einem gemeinsamen Vorfahren miteinander verbunden sind, mittlerweile jedoch erhebliche Unterschiede aufweisen. (Lewin)"
Genfamilie,"Eine Gruppe von Genen, die infolge von Genduplikationen verwandte oder identische Produkte kodieren. Nach dem ersten Duplikationsvorgang sind die beiden Kopien identisch, divergieren jedoch anschließend, da sich in ihnen unterschiedliche Mutationen ansammeln. Weitere Duplikationen und Divergenzen erweitern die Familie. (Lewin)"
Alu-Element,"Eine von mehreren verstreuten, miteinander verwandten Sequenzen, die jeweils etwa 300 bp lang sind, im menschlichen Genom (Mitglieder der SINE-Familie). Die einzelnen Mitglieder weisen an beiden Enden Alu-Schnittstellen auf. (Lewin)"
LINE,"Eine wichtige Klasse von Retrotransposons, die etwa 21\% des menschlichen Genoms ausmachen. (Lewin)"
