Welche vier Typen umfasst die Chomsky-Hierarchie (von 3 nach 0)?,"Typ 3 = regulär, Typ 2 = kontextfrei, Typ 1 = kontextsensitiv, Typ 0 = rekursiv aufzählbar (beliebige Grammatik). Mit fallendem Typ werden Grammatiken mächtiger und Sprachklassen größer."
Welche Grammatik- und Automatenform gehört zu Chomsky-3 (regulär)?,Rechts- bzw linkslineare Grammatiken; erkannt durch (deterministische oder nichtdeterministische) endliche Automaten.
Welche Grammatik- und Automatenform gehört zu Chomsky-2 (kontextfrei)?,Kontextfreie Grammatiken (Regeln \(A::=\gamma\)); erkannt durch (nichtdeterministische) Kellerautomaten.
Welche Grammatik- und Automatenform gehört zu Chomsky-1 (kontextsensitiv)?,"Kontextsensitive Grammatiken (\(\alpha A\beta::=\alpha\gamma\beta\), \(\gamma\ne\eps\)); erkannt durch linear beschränkte Turingmaschinen (LBA)."
Welche Grammatik- und Automatenform gehört zu Chomsky-0?,Beliebige Grammatiken (\(\alpha::=\beta\)); erkannt durch Turingmaschinen. Die Sprachklasse ist genau die der rekursiv aufzählbaren Sprachen.
Wie lautet die Inklusionskette der wichtigsten Sprachklassen?,regulär \(\subsetneq\) det kontextfrei (DCFL) \(\subsetneq\) kontextfrei \(\subsetneq\) kontextsensitiv \(\subsetneq\) entscheidbar \(\subsetneq\) rekursiv aufzählbar \(\subsetneq\) alle Sprachen. Alle Inklusionen sind echt.
"Worin unterscheiden sich „entscheidbar"" und „rekursiv aufzählbar"" (Intuition)?","Entscheidbar: eine TM hält auf jeder Eingabe und sagt ja/nein. Rekursiv aufzählbar: eine TM sagt bei Ja-Instanzen „ja"", darf bei Nein-Instanzen aber ewig weiterlaufen."
Welche Automaten erkennen genau die entscheidbaren bzw die rekursiv aufzählbaren Sprachen?,Entscheidbar = die von stets haltenden (det.)\ Turingmaschinen erkannten Sprachen. Rekursiv aufzählbar = die von beliebigen Turingmaschinen akzeptierten Sprachen.
Erkennen deterministische und nichtdeterministische Turingmaschinen dieselbe Sprachklasse?,"Ja, beide erkennen genau die rekursiv aufzählbaren Sprachen; Nichtdeterminismus lässt sich deterministisch simulieren."
Wie lautet das Pumping-Lemma für reguläre Sprachen (formal)?,"Ist \(L\) regulär, so gibt es \(n_0\ge1\), sodass jedes \(z\in L\) mit \(|z|\ge n_0\) zerlegbar ist als \(z=uvw\) mit \(|uv|\le n_0\), \(|v|\ge1\) und \(uv^iw\in L\) für alle \(i\ge0\)."
Was besagt das Pumping-Lemma für reguläre Sprachen anschaulich?,"In langen Wörtern regulärer Sprachen gibt es nahe am Anfang einen „Kern"" \(v\), den man beliebig oft wiederholen oder weglassen kann, ohne die Sprache zu verlassen - weil sich ein Zustand des Automaten wiederholt (Schleife)."
Wie lautet das Pumping-Lemma für kontextfreie Sprachen (formal)?,"Ist \(L\) kontextfrei, so gibt es \(n_0\), sodass jedes \(z\in L\) mit \(|z|\ge n_0\) zerlegbar ist als \(z=uvwxy\) mit \(|vwx|\le n_0\), \(|vx|\ge1\) und \(uv^iwx^iy\in L\) für alle \(i\ge0\)."
Was besagt das Pumping-Lemma für kontextfreie Sprachen anschaulich?,"In langen Wörtern kontextfreier Sprachen lassen sich zwei nahe beieinander liegende Teilstücke \(v,x\) gleichzeitig gleich oft aufpumpen - weil im Ableitungsbaum ein Nichtterminal auf einem Pfad doppelt vorkommt."
Was kann man mit dem Pumping-Lemma beweisen - und was nicht?,"Es ist nur notwendig, nicht hinreichend: Man beweist damit, dass eine Sprache NICHT regulär (bzw nicht kontextfrei) ist. Regularität/Kontextfreiheit kann es nie beweisen."
Wer wählt im Gegenspieler-Schema das Wort \(z\) und wer die Zerlegung?,"Man selbst wählt ein passendes \(z\in L\) (abhängig von \(n_0\)). Der „Gegenspieler"" wählt die Zerlegung - deshalb muss das Argument für alle zulässigen Zerlegungen gelten."
"Wie zeigt man, dass eine Sprache nicht regulär ist (Vorgehen)?","Annahme regulär \(\Rightarrow\) es gibt \(n_0\). Wähle konkretes \(z\in L\), \(|z|\ge n_0\). Zeige: für jede Zerlegung \(z=uvw\) mit \(|uv|\le n_0,|v|\ge1\) existiert ein \(i\) mit \(uv^iw\notin L\). Widerspruch."
Ist jede endliche Sprache regulär?,Ja. Eine endliche Sprache lässt sich als endliche Aufzählung ihrer Wörter als regulärer Ausdruck schreiben.
