300 nm Fibrille,"Höhere Verpackungsebene des Chromatins, bei der die 30-nm-Chromatinfaser durch Ausbildung von Schleifen weiter zu einer etwa 300 nm dicken Struktur kondensiert wird."
Zweifaktor-Kreuzung,"Kreuzungsexperiment, bei dem gleichzeitig die Vererbung zweier Merkmale (zwei Genorte) verfolgt wird, dient z. B. der Prüfung auf unabhängige Vererbung nach Mendel."
Zentriole,"Zentralkörperchen; in der Nähe des Zellkerns gelegenes, meist paarweise (als Diplosom) vorkommendes Organell. Organisationszentrum für die Spindel. Die beiden Z.en sind rechtwinklig zueinander angeordnet, entsprechen in ihrem Aufbau den Basalkörpern von Zilien und Flagellen und sind wechselseitig in diese umwandelbar. Sind sind nur elektronen- mikroskopisch sichtbar."
Zwei-Chromatid-Chromosom,"Repliziertes Chromosom, das aus zwei genetisch identischen Schwesterchromatiden besteht, die am Centromer durch Cohesin zusammengehalten werden; entsteht nach der S-Phase."
X-Chromosom Inaktivierung,"Prozess bei weiblichen Säugetieren, bei dem eines der beiden X-Chromosomen pro Zelle zufällig und stabil inaktiviert wird, um die Gendosis im Vergleich zu männlichen Individuen auszugleichen."
Wobble-Position,"Dritte Codonposition (3'), an der nicht-Watson-Crick-Basenpaarungen toleriert werden. Ermöglicht einer tRNA die Erkennung mehrerer synonymer Codons (z.\,B. G\,:\,U-Paar)."
Variable number tandem repeats,=Minisatellit
Vererbung,Weitergabe von Merkmalen (z.B. Augenfarbe) an die nachfolgende Generation
Variabilität,"Unterschiede der Nachkommen gegenüber ihren Eltern, auch Unterschiede der Mitglieder einer Population untereinander"
Translation,Proteinsynthese an einer RNA-Matrize mittels Ribosomen
Tetrade,"Gruppe der vier haploiden Zellen (Sporen), die aus einer Meiose einer diploiden Zelle hervorgehen."
Tetradenanalyse,"Genetische Methode, bei der die vier Produkte einer einzelnen Meiose gemeinsam analysiert werden, um Kopplung, Rekombination oder Genkonversion nachzuweisen, vor allem bei Pilzen wie Neurospora."
trans-Element,"Transkriptionsfaktoren (Proteine), die an die cis-Elemente binden"
Transkriptom,"Gesamtheit aller (auf RNA-Ebene) exprimierten Gene Gesamtheit aller (auf RNA-Ebene) exprimierten Gene (inkl. mRNAs, tRNAs, rRNAs, ncRNAs, miRNAa, ...)"
Synapsis,Paarung homologer Chromosomen
spontane Mutation,"Mutation, die ohne äußeren mutagenen Einfluss entsteht, z. B. durch Replikationsfehler oder tautomere Basenverschiebung."
Spindel,"Spindelförmige Anordnung von Mikrotubuli, die bei der Kernteilung die Chromosomen zu den beiden Spindelpolen (Zentriolen) transportieren."
SMC-Proteine,"Familie chromosomaler ATPasen (Structural Maintenance of Chromosomes), beteiligt an Chromosomenkondensation, Schwesterchromatidkohäsion und DNA-Reparatur, z. B. Condensin und Cohesin."
simple-sequence length polymorphism (SSLP),"Kurzer, in der Länge variabler, sich wiederholender DNA-Abschnitt (z. B. Mikrosatellit), dessen Längenpolymorphismus als genetischer Marker genutzt wird."
Single Nucleotid Polymorphism,Unterschiede in einzelnen Nukleotiden
Short Tandem Repeat,"=Mikrosatellit, SSR"
"sexuelle Fortpflanzung (generative, geschlechtliche)","Erzeugung von Nachkommen, die eine Neukombination der Gene/Allele der Eltern tragen. Es entstehen individuelle und einzigartige Nachkommen."
Schwesterchromosom,todo
Schwesterchromatide,Durch identi- sche Verdopplung (Replikation) eines Chromosoms entstandene Chromatiden
Rückkreuzung,"Von einer Rückkreuzung spricht man, wenn schon einer der beiden Eltern für beide rezessiven Allele homozygot war; allgemein nennt man diesen Kreuzungstyp Testkreuzung."
Ribonukleoprotein,Ein Komplex aus RNA und Proteinen. Größere Komplexe werden manchmal als Ribonukleoprotein-Partikel bezeichnet. (Lewin)
Release-Faktor,"Protein, das während der Translation ein Stoppcodon erkennt und die Freisetzung der neu synthetisierten Polypeptidkette aus dem Ribosom auslöst."
Response Element (RE),"Spezifische regulatorische DNA-Sequenz, an die bestimmte Transkriptionsfaktoren als Antwort auf zelluläre Signale binden und so die Genexpression regulieren. Beispiele sind das Estrogen Response Element (ERE) oder das Glucocorticoid Response Element (GRE)."
Replikation,"Prozess der Verdopplung der DNA vor der Zellteilung, bei dem eine identische Kopie des Genoms durch DNA-abhängige DNA-Polymerasen synthetisiert wird."
reverse Transkription,"Synthese von DNA aus einer RNA-Matrize durch das Enzym Reverse Transkriptase, typisch für Retroviren und bestimmte mobile genetische Elemente."
Rekombinationsfrequenz,Anteil rekombinanter Nachkommen an der Gesamtzahl der Nachkommen einer Kreuzung. Maß für den genetischen Abstand zweier Loci.
Reduktionsteilung,"Zellteilung, bei der vor der Teilung zu einer Verrringerung (Halbierung) des Chromosomensatzes kommt"
Randomly Amplified Polymorphic DNA,"Eine spezielle Form der Polymerase-Kettenreaktion. Es werden kurze Primer mit einer Länge von 8 bis 12 Nukleotiden verwendet, die zufällig erzeugt wurden. Aus genomischer DNA vervielfältigen sich dann nur DNA-Sequenzbereiche, die von der Sequenz des Primers eingeschlossen werden. Mit geeigneten Primern ergeben sich in der Elektrophorese individuelle Bandenmuster, die es erlauben, die Erbsubstanz unterschiedlicher Lebewesen zu vergleichen, ohne diese im Detail zu kennen. Es sind also keine aufwendigen Sequenzierungen erforderlich."
Punnett-Schema,Tabellarisches Schema zur systematischen Darstellung aller möglichen Gameten-Kombinationen einer Kreuzung und der daraus resultierenden Genotyp- und Phänotypverhältnisse.
Purin,Stickstoffhaltige Base mit bicyclischem Ringsystem. Zu den Purinen zählen Adenin und Guanin.
Pyrimidin,"Stickstoffhaltige Base mit monocyclischem Ringsystem. Zu den Pyrimidinen zählen Cytosin, Thymin und Uracil."
Pseudouridin,"Häufigste RNA-Modifikation (\(\Psi\)); C-glykosidische Umlagerung von Uridin, bei der C5 statt N1 die glykosidische Bindung trägt. Stabilisiert Sekundärstrukturen durch verbesserte Basenstapelung."
Proteom,"Gesamtheit aller Proteine in einer Zelle, Gewebe, Organismus unter geg. Bedingungen (abh. von mRNA und Proteinmenge, -stabilität, -modifikationen)"
Polygene Vererbung,siehe Polygenie
Polygenie,Wenn ein einzelnes Merkmal von mehreren Genen beeinflusst wird. Bspw. durch Epistasie oder Kopplung
Pleiotropie,Vielfache Wirkung eines bestimmten Gens
physikalische Mutagenese,"Mutationsauslösung durch energiereiche Strahlung: ionisierende Strahlung (Röntgen, \(\gamma\)) verursacht Strangbrüche und Basenmodifikationen; UV-Licht induziert Pyrimidin-Dimere."
Phänotyp,Erscheinungsbild eines Organismus
Photoreparatur,"Lichtabhängiger Reparaturmechanismus, bei dem das Enzym Photolyase UV-induzierte Pyrimidindimere unter Einwirkung von sichtbarem Licht direkt spaltet."
oriC,"Replikationsursprung des bakteriellen Chromosoms (z. B. bei E. coli), Startpunkt der bidirektionalen DNA-Replikation."
Nondisjunction,"Das fehlende Auseinanderweichen von zwei homologen Chromosomen bei der Meiose I oder das Nichttrennen von Schwesterchromatiden durch eine Störung der Anaphase während der Mitose, Meiose I oder der Meiose II."
Out of Africa - Hypothese,"Hypothese, dass die Gattung Homo ihren Ursprung in Afrika hatte („Wiege der Menschheit“) und dass sich deren Angehörige von dort über die ganze Welt verbreiteten"
Multiple Allele,verschiedene Mutationsstufen ein und desselben Gens
mRNA-Prozessierung,"Gesamtheit der posttranskriptionellen Modifikationen eukaryotischer prä-mRNA, einschließlich 5'-Capping, Spleißen und Polyadenylierung, die zur reifen mRNA führen."
Mikrotubuli,Röhrenförmige Elemente des Zytoskeletts bei Eukaryonten. Durchmesser: 24 nm
Merkmalsform,"Konkrete Ausprägung eines Merkmals, entspricht dem Phänotyp, der durch ein bestimmtes Allel oder eine Allelkombination bedingt wird."
lncRNA,"Long non-coding RNA; nicht-kodierende RNA \(>\)\,200\,nt ohne signifikantes offenes Leseraster. Reguliert Genexpression auf transkriptioneller (z.\,B Chromatinremodellierung, Rekrutierung von PRC2), post-transkriptioneller und translationaler Ebene"
Kolinearität,Übereinstimmung der linearen Reihenfolge von Genen auf der DNA mit der Reihenfolge der genetischen Kopplungskarte beziehungsweise mit der Aminosäurereihenfolge im codierten Protein.
konservative Replikation,"Widerlegtes Replikationsmodell, nach dem der gesamte elterliche Doppelstrang erhalten bleibt und eine komplett neue Tochterdoppelhelix entsteht."
Kopplungsgruppe,"Gruppe von Genen, die auf demselben Chromosom liegen und daher tendenziell gemeinsam vererbt werden, da sie seltener durch Rekombination getrennt werden."
Kinetochor,"Mehrschichtiger Proteinkomplex am Centromer eines Chromosoms, der sich in der späten Prophase von Kernteilungen bildet"
Knockdown-Analyse,Methode der reversen Genetik zur funktionellen Analyse eines Gens durch gezielte Reduktion (nicht vollständige Elimination) seiner mRNA-Menge.
Kleeblatt-Struktur,"Zweidimensionale Sekundärstruktur der tRNA mit vier Doppelstrang-Helices (Akzeptor-, D-, Anticodon- und T\(\Psi\)C-Arm) und drei Schleifen; Grundlage der L-förmigen 3D-Tertiärstruktur."
Interkalation,Einlagerung planarer Moleküle zwischen benachbarte Basenpaare der DNA-Doppelhelix. Verzerrt die Helix und kann zu Leserasterverschiebungen bei der Replikation führen.
induzierte Mutation,"Mutation, die durch äußere Einflüsse wie Chemikalien, Strahlung oder andere Mutagene verursacht wird."
Interaktom,Gesamtheit aller Protein-Protein-Interaktionen
Händigkeit,"Chiralität eines Moleküls, beschreibt ob es in einer links- oder rechtsdrehenden Form vorliegt, relevant z. B. bei Zuckern und Aminosäuren."
Hardy-Weinberg Gesetz,"Populationsgenetisches Modell, das beschreibt, unter welchen Idealbedingungen (keine Selektion, Mutation, Migration, zufällige Paarung) Allel- und Genotypfrequenzen in einer Population über Generationen konstant bleiben."
Genkonversion,"nicht-reziproke Form der Rekombination innerhalb eines Gens, bei in der ein Allel in das homologe Allel umgewandelt wird."
