Was ist ein Merkmal im Kontext der beschreibenden Statistik?,"Eine Eigenschaft, die an einer Versuchseinheit erhoben bzw.\ gemessen wird (z.B.\ Lage, Farbe, Alter, Größe). Ein Merkmal tritt in verschiedenen Ausprägungen auf."
Was ist die Grundgesamtheit?,"Die Grundgesamtheit ist die Gesamtheit aller Versuchseinheiten, über die im Rahmen einer Datenerhebung eine Aussage getroffen werden soll."
Warum muss die Grundgesamtheit sorgfältig definiert werden?,Da sie je nach Merkmal und Fragestellung unterschiedlich abgegrenzt ist.
"Was ist eine Stichprobe, und warum wird meist sie statt der gesamten Grundgesamtheit ausgewertet?","Eine Stichprobe ist eine (in der Regel kleinere) Teilmenge von $n$ Versuchseinheiten aus der Grundgesamtheit. Man wertet sie aus, weil die vollständige Grundgesamtheit oft zu groß ist. Der Begriff ""Stichprobe"" wird üblicherweise sowohl für die gewählten Versuchseinheiten als auch für die zugehörigen Merkmalsausprägungen verwendet."
Was ist eine Urliste?,"Die Liste der ursprünglich (in Erhebungsreihenfolge, unsortiert) erfassten Daten einer Stichprobe, typischerweise dargestellt als Paare (Index/Versuchseinheit, Merkmalsausprägung)."
Welche Arten von Merkmalen unterscheidet man?,Quantitative Merkmale (z.B.\ Alter in Jahren oder Größe) und qualitative Merkmale (z.B.\ untergewichtig/normal/übergewichtig oder Farbe).
Welche Arten von quantitative Merkmalen unterscheidet man?,Diskret (z.B.\ Alter in Jahren) und stetig (z.B.\ Größe).
Welche Arten von qualitativen Merkmalen unterscheidet man?,In ordinale Merkmale/Rangmerkmale mit natürlicher Ordnung (z.B.\ untergewichtig/normal/übergewichtig) und nominale Merkmale ohne natürliche Ordnung (z.B.\ Farbe).
"Wie ist die absolute Häufigkeit $H_n(a_i)$ einer Ausprägung $a_i$ in einer Stichprobe $x_1,\dots,x_n$ definiert?","$H_n(a_i) = \#\{j\in\{1,\dots,n\}: x_j=a_i\}$ -- die Anzahl der Stichprobenwerte, die gleich $a_i$ sind."
Wie ist die relative Häufigkeit $h_n(a_i)$ einer Ausprägung $a_i$ definiert?,$h_n(a_i) = \dfrac1n H_n(a_i)$.
"Welche Summeneigenschaften gelten für die absoluten bzw.\ relativen Häufigkeiten aller Ausprägungen $a_1,\dots,a_s$?",$H_n(a_1)+\dots+H_n(a_s) = n$ und $h_n(a_1)+\dots+h_n(a_s) = 1$.
"Wann sind Kreis- bzw.\ Balkendiagramm für die Darstellung einer Häufigkeitsverteilung ungeeignet, und was verwendet man stattdessen?",Bei sehr vielen verschiedenen Ausprägungen (z.B.\ bei einem quasi-stetigen Merkmal wie Alter in Jahren) werden Kreis- und Balkendiagramme unübersichtlich. Stattdessen bildet man Klassen (Wertebereiche) und stellt die Häufigkeiten pro Klasse in einem Histogramm dar.
Wie geht man bei der Bildung von Histogramm-Klassen mit Ausreißern in den Daten um?,"Man bildet für die Ausreißer eine Restklasse. Für diese wird kein eigener Balken gezeichnet, sondern nur vermerkt, wie viele Elemente sie enthält."
Wie ist ein Lagemaß formal definiert?,"Eine Funktion $l:\mathbb{R}^n\to\mathbb{R}$ heißt Lagemaß, wenn $l(x_1+a,\dots,x_n+a) = l(x_1,\dots,x_n)+a$ für alle $(x_1,\dots,x_n)\in\mathbb{R}^n$ und alle $a\in\mathbb{R}$ gilt (Translationsäquivarianz): Verschiebt man alle Stichprobenwerte um $a$, verschiebt sich auch der Wert des Lagemaßes um $a$."
