"Welche Vorteile bietet Multizellularit\""at? (4)","Gemeinsame Ressourcennutzung/Zusammenarbeit; Spezialisierung \& Arbeitsteilung (Effizienz); gr\""o{\ss}ere K\""orpergr\""o{\ss}e (Schutz vor R\""aubern, Mobilit\""at); Widerstandsf\""ahigkeit gegen\""uber Umweltbelastungen"
Was ist kein Vorteil der Vielzelligkeit? (MC),''Vielzeller vermehren sich schneller als Einzeller'' - das ist falsch/kein Vorteil (Einzeller vermehren sich i.d.R schneller)
Warum beginnt ein mehrzelliges Individuum als eine Zelle (Zygote)?,"Der einzellige ''Flaschenhals'' verhindert, dass ''\""Uberl\""aufer''-Zellen (die nicht zum Wohl der Gruppe beitragen) sich durchsetzen; sichert genetische Einheitlichkeit des K\""orpers"
Auf welchen Stufen kann Genexpression reguliert werden? (Hox-Beispiele),"Epigenetisch (Chromatin-Remodelling), transkriptional (Signalgradienten, z.B Retins\""aure/RA \(\to\) RARs), posttranskriptional (alternatives Splei{\ss}en, mRNA-Stabilit\""at), translational (microRNAs, z.B miR-196), posttranslational (Kofaktoren wie Pbx/Meis)"
"Nenne die drei Keimbl\""atter und je ein Beispiel.",Ektoderm \(\to\) Haut/Nervensystem; Mesoderm \(\to\) Muskel/Knochen/Blut; Entoderm \(\to\) Darm-/Lungenepithel
"Darwinfinken-Schnabelgr\""o{\ss}en sind ein Beispiel f\""ur welches Konzept?","Heterometrie (\""Anderung der Expressionsst\""arke, z.B des Gens HMGA2)"
Wie wird die Kaste bei eusozialen Bienen bestimmt? (Fallstudie),"Durch Ern\""ahrung/Epigenetik: DNA-Methylierung steuert die Genexpression. Kucharski et al schalteten die DNA-Methyltransferase Dnmt3 in Larven aus \(\to\) ''Gel\'ee-royale''-Effekt: die meisten wurden zu K\""oniginnen"
Fallstudie Seepferdchen: genetische Grundlage des Flossenverlusts?,"Im Genom von \art{Hippocampus comes} fehlt tbx4 (Regulator der Hintergliedma{\ss}en). CRISPR-Cas9-Knockout von tbx4 in Zebrafischen erzeugte denselben Ph\""anotyp (Verlust der Bauchflossen)"
Fallstudie Stichling: genetische Grundlage der Beckenreduktion?,"Regulatorische Mutationen l\""oschen einen gewebespezifischen Enhancer des Gens Pitx1. Wiederherstellung der Pitx1-Beckenexpression (transgen) stellte die Beckenstacheln wieder her (Chan et al 2010)"
"Formel: Allelh\""aufigkeit berechnen",freq(Allel) \(= \dfrac{\text{Anzahl Kopien des Allels}}{2N}\) (\(N\) = Anzahl diploider Individuen)
Formel: beobachtete Heterozygotie \(H_O\),\(H_O = \dfrac{\text{Anzahl heterozygoter Individuen}}{N}\)
"RECHNEN: 10 Ind., AA=3, AB=5, BB=2. \(H_O\), freq(A), freq(AB)?","\(H_O = 5/10 = 0{,}5\). freq(A) \(= (2\cdot 3 + 1\cdot 5)/(2\cdot 10) = 11/20 = 0{,}55\). freq(Genotyp AB) \(= 5/10 = 0{,}5\)"
"Warum ist genetische Drift in kleinen Populationen st\""arker?","Die Varianz der Allelh\""aufigkeit pro Generation ist \(\dfrac{p(1-p)}{2N}\). Kleines \(N\) \(\to\) gr\""o{\ss}ere Varianz \(\to\) st\""arkere zuf\""allige Schwankungen und schnellerer Verlust an Vielfalt"
"RECHNEN: Drift-Varianz f\""ur \(p=0{,}5\), \(N=8\) vs \(N=80\)?","Var \(= p(1-p)/2N\). \(N=8\): \(0{,}25/16 = 0{,}0156\). \(N=80\): \(0{,}25/160 = 0{,}00156\) \(\to\) 10-fach kleiner, also weniger Drift bei gr\""o{\ss}erem \(N\)"
Was kann au{\ss}er geografischer Entfernung reproduktive Isolation verursachen?,"Physische Barrieren (z.B Fl\""usse) und Verhalten (z.B Philopatrie/Heimattreue)"
"Warum ist es wichtig, Populationen zu identifizieren?","Sie entwickeln sich (teils) unabh\""angig: k\""onnen einzigartige Mutationen beherbergen, unterschiedliche Vielfalt/Gr\""o{\ss}e haben (unterschiedlich von Drift betroffen) und unter unterschiedlichem Selektionsdruck stehen (lokale Anpassung)"
Mechanismus der Inzuchtdepression?,"Inzucht erh\""oht Homozygotie \(\to\) rezessive sch\""adliche Allele werden homozygot ausgepr\""agt \(\to\) Fitnessverlust (bei Auszucht durch dominantes Wildtyp-Allel maskiert)"
Genetische Rettung des Florida-Panthers - Ablauf \& Ergebnis?,"Population auf 10-20 Tiere reduziert, viele Inzuchtsymptome (Knickschw\""anze, Herzdefekte, Kryptorchismus, Spermienanomalien). Einbringen von Texas-Pumas \(\to\) F1 mit reduzierten Symptomen, ca 10\% mehr \""uberlebende Nachkommen; Population w\""achst - bleibt aber genetisch unterscheidbar"
Kritikpunkte an der genetischen Rettung?,"Risiko der Auszuchtdepression; Kreuzungen sind keine ''echten'' (genetisch einzigartigen) Florida-Panther; Zielkonflikt zwischen Erhalt der Einzigartigkeit und Gesundheit; Vorteile verschwinden nach 2-3 Generationen (Wiederholung n\""otig)"
"Drei Voraussetzungen f\""ur nat\""urliche Selektion?","1) Variation zwischen Individuen; 2) Vererbung der Merkmale; 3) unterschiedliches \""Uberleben/Fortpflanzung (fitnessrelevant). Folge: Anpassung"
"Industriemelanismus (Pfeffermotte) erkl\""aren.","Ru{\ss} verdunkelte die B\""aume; dunkle (melanisierte) Motten waren dort besser getarnt und wurden seltener von R\""aubern gefressen \(\to\) h\""ohere \""Uberlebensrate \(\to\) h\""aufiger (Selektion \""uber Raum und Zeit)"
"Laktosetoleranz als Beispiel f\""ur Selektion?","Eine Mutation im LCT-Gen erlaubt Laktoseverdauung im Erwachsenenalter. In milchviehhaltenden Populationen (z.B Nordeuropa) vorteilhaft \(\to\) H\""aufigkeit stieg von ca 1\% auf \(>\)90\%"
Wie beeinflusste die Migration aus Afrika die genetische Vielfalt?,"Serielle Gr\""undereffekte (Founder-Effekte): mit zunehmender Entfernung von Afrika nimmt die genetische Vielfalt ab (afrikanische Populationen sind am vielf\""altigsten)"
"Warum ist Diversit\""at der Teilnehmer f\""ur die Pr\""azisionsmedizin wichtig?","Populationen unterscheiden sich in Drift/Selektion: populationsspezifische Mutationen, unterschiedliche kausale Varianten und lokale Anpassung. Polygene Risikoscores aus einer Population \""ubertragen sich schlecht auf andere (Bsp Gr\""onland/Inuit) \(\to\) Ungleichheit ohne diverse Daten"
"Zwillingsstudien - wie wird Heritabilit\""at gesch\""atzt?","Vergleich der Merkmals\""ahnlichkeit: hohe \""Ahnlichkeit bei eineiigen (MZ, 100\% Gene) aber geringe bei zweieiigen (ZZ, 50\%) \(\to\) hohe Erblichkeit; \""ahnliche \""Ahnlichkeit \(\to\) hoher Umwelteinfluss"
Was definiert eine Art nach dem biologischen Artkonzept? (MC),"Organismen, die sich kreuzen und fruchtbare Nachkommen erzeugen k\""onnen (reproduktive Gemeinschaft) - nicht blo{\ss}es \""ahnliches Aussehen, Habitat oder Chromosomenzahl"
Warum gibt es kein einheitliches Artkonzept?,"Bis heute wurden ca 16 verschiedene Artenkonzepte definiert; ca 79\% Wahrscheinlichkeit, dass zwei zuf\""allige Fachleute unterschiedliche Konzepte verwenden (Stankowski \& Ravinet 2021)"
Wesentlicher Unterschied mtDNA vs nDNA? (MC),"mtDNA ist zirkul\""ar und wird m\""utterlicherseits vererbt; nDNA ist linear und wird von beiden Elternteilen vererbt"
Was ist DNA-Barcoding und welches Gen wird genutzt?,"Artbestimmung durch Abgleich eines mtDNA-Abschnitts - des COI-Gens (Cytochrom-c-Oxidase I) - mit einer Referenzdatenbank; n\""utzlich f\""ur fragmentierte/verarbeitete Proben, Biodiversit\""at, Handels\""uberwachung"
Schritte zur Erstellung eines phylogenetischen Baums?,"1) DNA extrahieren \& sequenzieren (nDNA/mtDNA); 2) Sequenzen alignen; 3) genetische Abst\""ande berechnen (Abstandsmatrix); 4) Baum rekonstruieren per Clustering (z.B Neighbour-Joining)"
Definition der Phylogenetik? (MC),"Die Untersuchung der evolution\""aren Beziehungen zwischen Arten oder Genen"
Unterschied allopatrische vs sympatrische Artbildung?,"Allopatrisch: mit r\""aumlicher/physischer Trennung. Sympatrisch: ohne trennende physische Barriere (im selben Gebiet)"
