X-Chromosom,"Eines der beiden Geschlechtschromosomen bei Säugetieren, bei Frauen in zwei Kopien (XX), bei Männern in einer Kopie (XY) vorhanden."
UAS (Upstream Activating Sequence),"Regulatorische DNA-Sequenz stromaufwärts eines Promotors, an die Aktivatorproteine binden und dadurch die Transkription fördern. Besonders gut charakterisiert in Hefen."
URS (Upstream Repressing Sequence),"Regulatorische DNA-Sequenz stromaufwärts eines Promotors, an die Repressorproteine binden und dadurch die Transkription hemmen."
Upstream Control Element,"Regulatorisches Promotorelement der RNA-Polymerase I, das stromaufwärts des Transkriptionsstarts liegt und die Transkription aktiviert"
rRNA,"Ribosomale RNA; struktureller und katalytischer Bestandteil der Ribosomen, der maßgeblich an der Peptidbindung während der Translation beteiligt ist."
BRE (TFIIB Recognition Element),"Core-Promotorelement, das von dem allgemeinen Transkriptionsfaktor TFIIB erkannt wird und die Bildung des Präinitiationskomplexes unterstützt."
PABP (Poly(A)-binding protein),"Protein, das an den Poly(A)-Schwanz eukaryotischer mRNA bindet, diese stabilisiert, den Abbau hemmt und die Translationseffizienz erhöht."
Peptidbindung,"Kovalente Bindung zwischen der Carboxylgruppe einer Aminosäure und der Aminogruppe einer anderen, die während der Translation im Ribosom gebildet wird."
TATA-Box,"AT-reiche Promotorsequenz eukaryotischer Gene, meist etwa 25 Basenpaare vor dem Transkriptionsstart"
TBP (TATA-box binding protein),"Protein des TFIID-Komplexes, das an die TATA-Box bindet und die Bildung des Präinitiationskomplexes für die Transkription einleitet."
