Was bedeutet die Notation \(|A|\) bzw \(\#A\)?,Die Anzahl der Elemente der Menge \(A\) (Mächtigkeit von \(A\)).
Wie ist die bedingte Wahrscheinlichkeit \(P(A\mid B)\) definiert?,"\(P(A\mid B) = \dfrac{P(A\cap B)}{P(B)}\) falls \(P(B)>0\), und \(P(A\mid B):=0\) falls \(P(B)=0\)."
Was bedeutet \(P(A\mid B)\) anschaulich?,"Die Wahrscheinlichkeit von \(A\), wenn man bereits weiß, dass \(B\) eingetreten ist - man beschränkt den Wahrscheinlichkeitsraum gedanklich auf \(B\) und fragt, wie wahrscheinlich der in \(B\) liegende Teil von \(A\) darin ist."
"Wie muss man die Definition der bedingten Wahrscheinlichkeit interpretieren, wenn \(P\) durch eine Dichte gegeben ist?","Man muss die Definition über Integrale interpretieren, statt über Summen bzw Abzählen."
Wie vereinfacht sich \(P(A\mid B)\) bei Gleichverteilung auf einem endlichen Ereignisraum?,\(P(A\mid B) = \dfrac{|A\cap B|}{|B|}\) - die bedingte Wahrscheinlichkeit ist der relative Anteil von \(A\) in \(B\).
"Gilt immer \(P(A\mid B) > P(A)\), sobald man auf ein Ereignis \(B\) bedingt?","Nein. Sowohl \(P(A\mid B) > P(A)\) als auch \(P(A\mid B) < P(A)\) sind möglich - Bedingen kann eine Wahrscheinlichkeit sowohl erhöhen als auch verringern, je nachdem wie \(A\) und \(B\) zusammenhängen."
"Wie lässt sich die Unabhängigkeit zweier Ereignisse \(A,B\) mit Hilfe der bedingten Wahrscheinlichkeit charakterisieren?","\(A,B\) sind unabhängig genau dann, wenn \(P(A\mid B)=P(A)\) gilt (für \(P(B)>0\)) - das Wissen um \(B\) ändert dann die Einschätzung von \(A\) nicht. Äquivalent dazu ist \(P(A\cap B)=P(A)\cdot P(B)\)."
Ist die Abbildung \(A\mapsto P(A\mid B)\) (für festes \(B\) mit \(P(B)>0\)) selbst ein Wahrscheinlichkeitsmaß?,"Ja. Damit gelten alle bekannten Rechenregeln für Wahrscheinlichkeiten auch für bedingte Wahrscheinlichkeiten bei festem \(B\), z.\,B \(P(A^c\mid B)=1-P(A\mid B)\) und Additivität für disjunkte Ereignisse."
Ist die Abbildung \(B\mapsto P(A\mid B)\) (für festes \(A\)) ein Wahrscheinlichkeitsmaß?,Nein! Im zweiten Argument ist die bedingte Wahrscheinlichkeit KEIN Wahrscheinlichkeitsmaß - im Allgemeinen gilt weder \(P(A\mid B)=1-P(A\mid B^c)\) noch Additivität bei disjunkter Zerlegung von \(B\).
Wie lautet die Gedächtnislosigkeits-Eigenschaft der Exponentialverteilung?,"Für \(X\) exponentialverteilt mit Parameter \(z>0\) gilt für alle \(s,t\ge 0\): \(P(X> t+s \mid X> s) = P(X> t)\) - die bedingte Wahrscheinlichkeit einer weiteren Wartezeit \(t\) hängt nicht davon ab, wie lange \(s\) bereits gewartet wurde."
Was bedeutet Gedächtnislosigkeit einer Wartezeitverteilung anschaulich?,"Das ""Gedächtnis"" der bereits verstrichenen Wartezeit spielt keine Rolle: Egal wie lange man schon gewartet hat, die Wahrscheinlichkeit, noch mindestens eine bestimmte Zeit länger warten zu müssen, ist immer dieselbe wie zu Beginn."
Wie lautet der Multiplikationssatz für zwei Ereignisse (aus der Definition der bedingten Wahrscheinlichkeit)?,"\(P(A\cap B) = P(A\mid B)\,P(B)\) für alle \(A,B\subseteq\Omega\) (die Formel gilt auch für \(P(B)=0\), da dann beide Seiten \(0\) sind)."
Wie lautet die allgemeine Formel für sukzessives Bedingen (Kettenregel) für \(n\) Ereignisse?,"\(P(A_1\cap\dots\cap A_n) = P(A_n\mid A_1\cap\dots\cap A_{n-1})\cdots P(A_2\mid A_1)\,P(A_1)\)."
Welche anschauliche Idee steckt hinter der Kettenregel für sukzessives Bedingen?,"Man zerlegt die Wahrscheinlichkeit eines gleichzeitigen Eintretens mehrerer Ereignisse in eine Abfolge: erst die Wahrscheinlichkeit des ersten Ereignisses, dann die bedingte Wahrscheinlichkeit des zweiten gegeben das erste, dann die des dritten gegeben die ersten beiden usw. - wie beim schrittweisen Ziehen ohne Zurücklegen."
Wie lautet die Formel von der totalen Wahrscheinlichkeit?,"Ist \(B_1,B_2,\dots\) eine (abzählbare) Partition von \(\Omega\) (paarweise disjunkt, Vereinigung \(=\Omega\)), so gilt für jedes Ereignis \(A\): \(P(A) = \sum_i P(A\mid B_i)\,P(B_i)\)."
Was leistet die Formel von der totalen Wahrscheinlichkeit anschaulich?,"Sie erlaubt, die ""absolute"" Wahrscheinlichkeit eines Ereignisses \(A\) zu berechnen, indem man alle möglichen Szenarien (die Partition \(B_i\)) durchgeht, in jedem Szenario die bedingte Wahrscheinlichkeit von \(A\) bestimmt, und diese mit der Wahrscheinlichkeit des jeweiligen Szenarios gewichtet aufsummiert."
Wie lautet die einfache Version des Satzes von Bayes?,"Für \(A,B\subseteq\Omega\) mit \(P(B)>0\): \(P(A\mid B) = P(B\mid A)\cdot\dfrac{P(A)}{P(B)}\)."
Wozu dient der Satz von Bayes anschaulich?,"Er erlaubt es, eine bedingte Wahrscheinlichkeit ""umzukehren"": Aus \(P(B\mid A)\) (und den unbedingten Wahrscheinlichkeiten \(P(A)\), \(P(B)\)) lässt sich \(P(A\mid B)\) berechnen, ohne dass diese Größe direkt gegeben sein muss."
Wie lautet die allgemeine Version des Satzes von Bayes?,"Ist \(B_1,B_2,\dots\) eine Partition von \(\Omega\) und \(P(A)>0\), so gilt für jedes \(i\): \(P(B_i\mid A) = \dfrac{P(A\mid B_i)\,P(B_i)}{\sum_j P(A\mid B_j)\,P(B_j)}\)."
Wie lässt sich die allgemeine Bayes-Formel aus der einfachen Version herleiten?,"Man kombiniert die einfache Bayes-Formel \(P(B_i\mid A)=P(A\mid B_i)\frac{P(B_i)}{P(A)}\) mit der Formel von der totalen Wahrscheinlichkeit, um den Nenner \(P(A)\) durch \(\sum_j P(A\mid B_j)P(B_j)\) zu ersetzen."
