"Woraus besteht ein Wahrscheinlichkeitsraum \((\Omega,\mathbb{P})\)?","Drei Bausteine. Ergebnismenge \(\Omega\), eine \(\sigma\)-Algebra \(\mathcal A\) von Ereignissen und ein Wahrscheinlichkeitsmaß \(\mathbb{P}\) mit \(\mathbb{P}(\Om)=1\), \(\mathbb{P}\ge 0\) und \(\sigma\)-Additivität."
Was ist ein Laplace-Raum?,"Endlich + gleichwahrscheinlich. \(\mathbb{P}(A)=\dfrac{\#A}{\#\Om}=\dfrac{\text{günstige}}{\text{mögliche}}\). Nur zulässig, wenn alle Elementarergebnisse dieselbe Wahrscheinlichkeit haben."
Welche Eigenschaften definieren eine Dichte \(f\)?,"\(f\ge 0\) und \(\int_{-\infty^{\infty} f = 1\).} Dann \(\mathbb{P}((a,b])=\int_a^b f(x)\,dx\) und \(\mathbb{P}(\{a\})=0\) für jeden Punkt."
Was ist die Verteilungsfunktion \(F_X\)?,"\(F_X(t)=\mathbb{P(X\le t)\).} Monoton wachsend, rechtsstetig, mit \(F(-\infty)=0\), \(F(\infty)=1\). Diskret: Treppenfunktion mit Sprunghöhe \(\mathbb{P}(X=x)\). Stetig: \(f=F'\)."
Was ist der Erwartungswert?,"Der ''Schwerpunkt'' der Verteilung. Diskret \(\mathbb{E}[X]=\sum_x x\,\mathbb{P}(X=x)\), stetig \(\mathbb{E}[X]=\int x\,f(x)\,dx\)."
Was ist die Varianz?,Mittlere quadratische Abweichung vom Erwartungswert. \(\operatorname{Var}(X)=\mathbb{E}[(X-\mathbb{E} X)^2]=\mathbb{E}[X^2]-\mathbb{E}[X]^2\ge 0\).
"Wann sind zwei Ereignisse \(A,B\) unabhängig?","\(\mathbb{P(A\cap B)=\mathbb{P}(A)\,\mathbb{P}(B)\).} Für \(A_1,\dots,A_m\) ''gemeinsam unabhängig'': die Produktregel muss für jede Teilmenge der Indizes gelten."
"Wann sind zwei Zufallsvariablen \(X,Y\) unabhängig?","Die gemeinsame zerfällt ins Produkt der Rand. \(F_{X,Y}(x,y)=F_X(x)F_Y(y)\) bzw. \(f_{X,Y}(x,y)=f_X(x)f_Y(y)\) für alle \(x,y\)."
Was ist die bedingte Wahrscheinlichkeit \(\mathbb{P}(A\mid B)\)?,"\(\mathbb{P(A\mid B)=\dfrac{\mathbb{P}(A\cap B)}{\mathbb{P}(B)}\)} für \(\mathbb{P}(B)>0\). ''Wahrscheinlichkeit von \(A\), wenn \(B\) bereits eingetreten ist.''"
Satz von der totalen Wahrscheinlichkeit?,"Zerlegung \(B_1,\dots,B_n\) von \(\Omega\): \(\mathbb{P}(A)=\sum_i \mathbb{P}(A\mid B_i)\,\mathbb{P}(B_i)\)."
Satz von Bayes?,"Dreht die Bedingung um. \(\mathbb{P}(B_k\mid A)=\dfrac{\mathbb{P}(A\mid B_k)\,\mathbb{P}(B_k)}{\sum_i \mathbb{P}(A\mid B_i)\,\mathbb{P}(B_i)}\)."
Was ist eine Randverteilung?,"Aus der gemeinsamen ''herausgesummt''. \(\mathbb{P}(X=x)=\sum_y \mathbb{P}(X=x,Y=y)\) - in der Tabelle die Zeilen- bzw. Spaltensummen."
Was ist ein erwartungstreuer Schätzer?,"Im Mittel richtig. \(t\) ist erwartungstreu für \(\theta\), falls \(\mathbb{E}_\theta[t(X)]=\theta\) für alle \(\theta\). Beispiel: \(\bar X\) für den Erwartungswert."
Was ist das Risiko (MSE) eines Schätzers?,"\(R(t)=\mathbb{E[(t-\theta)^2]=\operatorname{Var}(t)+\text{Bias}(t)^2\).} Bei Erwartungstreue ist \(\text{Bias}=0\), also \(R=\operatorname{Var}(t)\)."
Was ist ein Konfidenzintervall zum Niveau \(1-\alpha\)?,"Ein \emph{zufälliges Intervall \(J_n\)}, das den festen (unbekannten) Parameter mit Wahrscheinlichkeit \(\ge 1-\alpha\) überdeckt: \(\mathbb{P}_p(p\in J_n)\ge 1-\alpha\)."
Fehler 1 Art vs Fehler 2 Art?,"1 Art: \(H_0\) verwerfen, obwohl \(H_0\) wahr ist (Wahrscheinlichkeit \(\le\alpha\)).\\ 2 Art: \(H_0\) beibehalten, obwohl \(H_0\) falsch ist."
Was ist der \(p\)-Wert?,"Das kleinste Signifikanzniveau, bei dem \(H_0\) gerade noch verworfen wird. Kleiner \(p\)-Wert = stärkere Evidenz gegen \(H_0\)."
Fixpunkt einer Permutation / Derangement?,"Fixpunkt: Stelle \(l\) mit \(\omega(l)=l\).\\ Derangement: fixpunktfreie Permutation, Anzahl \(D_n=n!\sum_{j=0}^n\frac{(-1)^j}{j!}\)."
\(\mathbb{E}\) und \(\operatorname{Var}\) unter linearer Transformation \(aX+b\)?,"\(\mathbb{E}[aX+b]=a\,\mathbb{E}[X]+b\) \quad und\quad \(\operatorname{Var}(aX+b)=a^2\,\operatorname{Var}(X)\).\\ Merke: \(b\) fällt in der Varianz weg, \(a\) wird quadriert."
Varianz einer Summe \(X+Y\)?,"\(\mathbb{E}[X+Y]=\mathbb{E} X+\mathbb{E} Y\) (immer). Aber \(\operatorname{Var}(X+Y)=\operatorname{Var} X+\operatorname{Var} Y\) nur, wenn unkorreliert/unabhängig, sonst \(+\,2\operatorname{Cov}(X,Y)\)."
"Binomialverteilung \(\mathrm{Bin}(n,p)\)?","\(\mathbb{P}(X=k)=\binom{n}{k}p^k(1-p)^{n-k}\), \quad \(\mathbb{E}[X]=np\), \quad \(\operatorname{Var}(X)=np(1-p)\).\\ Einsatz: Anzahl Erfolge bei \(n\) unabhängigen Versuchen."
Geometrische Verteilung (Wartezeit)?,"Zählung ab \(1\): \(\mathbb{P}(X=k)=(1-p)^{k-1}p\), \quad \(\mathbb{E}[X]=\dfrac1p\), \quad \(\operatorname{Var}(X)=\dfrac{1-p}{p^2}\).\\ Einsatz: Nummer des ersten Erfolgs."
Poissonverteilung \(\mathrm{Poi}(\lambda)\)?,"\(\mathbb{P}(X=k)=e^{-\lambda}\dfrac{\lambda^k}{k!}\), \quad \(\mathbb{E}[X]=\operatorname{Var}(X)=\lambda\).\\ Einsatz: seltene Ereignisse; Approximation von \(\mathrm{Bin}(n,p)\) mit \(\lambda=np\)."
"Stetige Gleichverteilung auf \([a,b]\)?","\(f=\dfrac{1}{b-a}\mathbf 1_{[a,b]}\), \quad \(\mathbb{E}[X]=\dfrac{a+b}{2}\), \quad \(\operatorname{Var}(X)=\dfrac{(b-a)^2}{12}\)."
Satz von de Moivre-Laplace?,"Für \(S_n\sim\mathrm{Bin}(n,p)\), \(\mu=np\), \(\sigma=\sqrt{np(1-p)}\):\\ \(\mathbb{P}(a\le S_n\le b)\approx\Phi\!\big(\frac{b+\frac12-\mu}{\sigma}\big)-\Phi\!\big(\frac{a-\frac12-\mu}{\sigma}\big)\). \quad Stetigkeitskorrektur \(\pm\frac12\)!"
Tschebyscheffsche Ungleichung?,\(\mathbb{P}(|X-\mathbb{E} X|\ge\varepsilon)\le\dfrac{\operatorname{Var}(X)}{\varepsilon^2}\). Liefert nur eine (meist grobe) obere Schranke - ohne Kenntnis der genauen Verteilung.
Konfidenzintervall für einen Anteil \(p\)?,"\(\hat p=\frac{S_n}{n}\), Niveau \(1-\alpha\): \(J_n=\hat p\pm z_{1-\alpha/2}\sqrt{\dfrac{\hat p(1-\hat p)}{n}}\), \quad \(z_{0{,}975}\approx 1{,}96\)."
Teststatistik: einseitiger Anteilstest?,"\(H_0:p=p_0\). Unter \(H_0\): \(Z=\dfrac{S_n-np_0}{\sqrt{np_0(1-p_0)}}\approx\mathcal N(0,1)\). Verwerfe bei \(H_1:p<p_0\), falls \(Z<-z_{1-\alpha}\) (bei \(\alpha=0{,}05\): \(-1{,}645\))."
Abzählen: die vier Grundfälle (aus \(n\) ziehe \(k\))?,"geordnet, mit Zurücklegen: \(n^k\).\\ geordnet, ohne: \(\frac{n!}{(n-k)!}\).\\ ungeordnet, ohne: \(\binom{n}{k}\).\\ ungeordnet, mit: \(\binom{n+k-1}{k}\)."
Permutation von \(n\): genau \(k\) Fixpunkte?,\(\mathbb{P}(\text{genau }k)=\dfrac{1}{k!}\displaystyle\sum_{j=0}^{n-k}\dfrac{(-1)^j}{j!}\;\xrightarrow{n\to\infty}\;\dfrac{e^{-1}}{k!}\). \quad Zusammenhang \(\mathbb{P}(B_k)=\mathbb{P}(C_k)-\mathbb{P}(C_{k+1})\).
